"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","UPDATE_DATE","ACCT_007","ACCT_008","ACCT_009","ACCT_010","ACCT_011C","ACCT_013","ACCT_018","ACCT_019","ACCT_021B","ACCT_022B","ACCT_023B","ACCT_025A","ACCT_025B","ACCT_031A","ACCT_031B","ACCT_041B","ACCT_042","ACCT_058C","ACCT_065","ACCT_067","ACCT_068","ACCT_069","ACCT_080","ACCT_083","ACCT_084","ACCT_100","ACCT_300","ACCT_340","ACCT_380","ACCT_386","ACCT_387","ACCT_388","ACCT_392","ACCT_400","ACCT_457","ACCT_521","ACCT_522","ACCT_523","ACCT_524","ACCT_550","ACCT_551","ACCT_552","ACCT_562","ACCT_563","ACCT_602","ACCT_630","ACCT_652A","ACCT_652B1","ACCT_652B2","ACCT_655A","ACCT_655B1","ACCT_655B2","ACCT_656C","ACCT_657","ACCT_658","ACCT_662","ACCT_668","ACCT_671","ACCT_672A","ACCT_672B1","ACCT_672B2","ACCT_703","ACCT_704","ACCT_705","ACCT_706","ACCT_707","ACCT_708","ACCT_710","ACCT_712","ACCT_713","ACCT_714","ACCT_715","ACCT_716","ACCT_718","ACCT_719","ACCT_720","ACCT_721","ACCT_722","ACCT_723","ACCT_724","ACCT_730","ACCT_741A","ACCT_741B1","ACCT_741B2","ACCT_742A","ACCT_742B1","ACCT_742B2","ACCT_746A","ACCT_746B1","ACCT_746B2","ACCT_749","ACCT_750A","ACCT_750B1","ACCT_750B2","ACCT_751","ACCT_755","ACCT_760C","ACCT_761C","ACCT_771","ACCT_775","ACCT_794","ACCT_798","ACCT_799A","ACCT_799B1","ACCT_799B2","ACCT_825","ACCT_860C","ACCT_880","ACCT_902","ACCT_906A","ACCT_908A","ACCT_908C","ACCT_911","ACCT_931","ACCT_940","ACCT_959","ACCT_960","ACCT_968","ACCT_973","ACCT_975","ACCT_976","ACCT_991","Acct_965A","Acct_965B","Acct_965C","Acct_965D","ACCT_020A","ACCT_020B","ACCT_024A","ACCT_024B","ACCT_042A","ACCT_090A","ACCT_090B","ACCT_090C","ACCT_090D","ACCT_099A","ACCT_143A","ACCT_143B","ACCT_143C","ACCT_143D","ACCT_400A","ACCT_400B","ACCT_400C","ACCT_400D","ACCT_400F","ACCT_459A","ACCT_463A","ACCT_475A","ACCT_475B","ACCT_475C","ACCT_475D","ACCT_691B","ACCT_691C","ACCT_692","ACCT_692A","ACCT_704A","ACCT_704B","ACCT_704C","ACCT_704D","ACCT_704E","ACCT_705A","ACCT_705B","ACCT_708B","ACCT_720A","ACCT_720B","ACCT_720C","ACCT_720D","ACCT_720E","ACCT_721A","ACCT_721B","ACCT_724B","ACCT_733A","ACCT_745C1","ACCT_745C2","ACCT_796C1","ACCT_796C2","ACCT_797C1","ACCT_797C2","ACCT_799C1","ACCT_799C2","ACCT_965C1","ACCT_965C2","ACCT_088","ACCT_799A1","ACCT_672B","ACCT_672C1","ACCT_672C2","ACCT_672D","ACCT_744B","ACCT_744C1","ACCT_744C2","ACCT_744D","ACCT_652B","ACCT_652C1","ACCT_652C2","ACCT_652D","ACCT_766A","ACCT_766B","ACCT_766C1","ACCT_766C2","ACCT_766D","ACCT_766E","ACCT_798A1","ACCT_798A2","ACCT_798A3","ACCT_009A","ACCT_009B","ACCT_009C","ACCT_769A1","ACCT_769B1","ACCT_616","ACCT_616A","ACCT_704A1","ACCT_704C1","ACCT_980","ACCT_742C1","ACCT_742C2","ACCT_020J","ACCT_020K","ACCT_020L","ACCT_021J","ACCT_021K","ACCT_021L","ACCT_022J","ACCT_022K","ACCT_022L","ACCT_023J","ACCT_023K","ACCT_023L","ACCT_041J","ACCT_041K","ACCT_041L","Acct_1019","Acct_1019A","Acct_1019B","Acct_1019C","Acct_1019D","Acct_1019E","Acct_789A","Acct_789A1","Acct_789B","Acct_789B1"
1,3/31/2024 0:00:00,2,4/29/2024 10:20:52 PM,42402,7458,0,11182372,0,9856392,9856392,0,46439,478,0,767,8953804,31,720671,69523,0,0,0,0,0,0,0,1276,2000,0,0,0,32327,0,0,0,0,0,0,0,925,674,674,6519,696,0,0,0,29922,88074,0,0,0,0,0,0,0,6715796,203071,0,0,95898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108220,0,0,0,0,3541,0,0,560275,0,432472,2492247,0,0,1089446,0,0,242,0,0,0,0,0,0,0,0,0,109124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3/31/2024 0:00:00,7,4/30/2024 10:18:47 PM,2926739,1436871,0,275381898,0,208672795,241409795,0,1111383,826955,93026,20300,194154396,1090,14248221,2720931,0,0,0,0,0,0,0,28945,70000,0,0,112,788080,0,0,0,0,0,32737,1074,1184,500,666,367890,115903,0,0,0,0,275698,0,0,0,0,0,0,0,121112510,0,0,0,3628514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060044,0,0,0,0,6123939,7000000,32737000,44353402,5606112,26271750,33188394,3146322,0,22876865,0,0,3180,0,0,0,0,0,0,0,0,0,4048995,0,682511,0,0,0,0,0,0,0,0,0,0,911272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766577,65767,9054849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3/31/2024 0:00:00,11,4/18/2024 10:06:42 PM,5004004,555306,0,61526262,0,56663797,56663797,0,152053,2677,0,8001,27050615,609,2777539,247781,0,0,0,0,0,0,0,9133,19133,0,0,15588,85617,0,0,0,0,0,0,1243,1050,800,875,206482,30395,0,0,0,0,379808,0,0,0,0,0,0,0,26235674,0,0,0,1201434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551490,0,0,0,0,338825,0,0,16494290,911196,2076990,2956147,9388928,0,5867901,0,0,345,0,0,0,0,0,0,0,0,0,169765,0,27425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71417,53884,3270816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3/31/2024 0:00:00,12,4/25/2024 10:08:35 PM,12889552,665915,0,1058083728,0,842713968,919926247,0,849774,962009,0,35885,933368458,7449,99199184,2662923,0,0,0,0,0,0,0,65941,849530,0,0,542312,6944265,0,0,0,0,0,22,950,950,364,364,769471,201614,0,0,0,0,234783,0,0,0,0,0,0,0,172985942,0,0,0,6030987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7623047,0,0,0,0,8080746,45000000,77212279,120559248,32447859,215171696,444148170,19807926,0,86176916,0,0,12220,0,0,0,0,0,0,0,0,0,15501991,0,91847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3457830,144902,5919469,0,0,0,0,0,27026668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,3/31/2024 0:00:00,14,5/14/2024 10:02:56 PM,0,1893,0,9656630,0,8380331,8380331,0,0,529,16340,280,3901475,14,239962,16869,0,0,0,0,0,0,0,900,1320,0,0,45,10053,0,0,0,0,0,0,1490,850,624,699,21311,183,0,0,0,0,0,0,0,0,0,0,0,0,4977160,479074,0,0,92646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84714,0,0,0,0,-11816,0,0,2141669,193129,1068371,1068371,0,0,795347,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5063,15434,25931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,3/31/2024 0:00:00,16,4/24/2024 10:13:48 PM,0,0,0,10351728,0,7408088,7408088,0,970,0,0,258,1449703,28,129656,970,0,0,0,0,0,0,0,1112,2500,0,0,0,26001,0,0,0,0,0,0,0,988,490,530,0,0,0,0,0,29392,0,0,0,0,0,0,0,0,7408088,91769,0,0,34517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72549,0,0,0,0,1276,0,0,0,0,0,0,0,0,2821203,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735,7211,22160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3/31/2024 0:00:00,17,4/30/2024 10:34:01 PM,3313127,97925,0,324005537,0,272480946,272480946,0,197215,424786,0,17700,247081190,509,15844714,761950,0,0,0,0,0,0,0,21648,25000,0,0,0,1275415,0,0,0,0,0,0,850,824,665,665,124821,6475,0,0,0,0,0,0,0,0,0,0,0,0,79822922,0,0,0,2047920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2599757,0,0,0,0,3275207,0,0,30995077,13693127,98738834,102462189,43228226,0,49668079,0,0,3515,0,0,0,0,0,0,0,0,0,255508,0,24625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868973,144550,1319475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,3/31/2024 0:00:00,19,4/29/2024 10:29:15 PM,129682,821,0,21211275,0,18693821,18693821,0,0,0,0,434,6419560,18,407100,0,0,0,0,0,0,0,0,1203,14437,0,0,0,13806,0,0,0,0,0,0,1000,1019,459,559,0,134,0,0,0,0,6449,0,0,0,0,0,0,0,12459319,603146,0,0,148541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187975,0,0,0,0,419511,0,0,3651485,0,725592,2576568,0,0,1494797,0,0,66,0,0,0,0,0,0,0,0,0,18165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14035,0,51264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3/31/2024 0:00:00,21,4/29/2024 10:14:15 PM,52994018,5772289,0,1314698031,0,1080270403,1122520403,0,5143151,1767678,400886,52983,1114200001,3338,87513621,12119437,0,0,0,0,0,0,0,132657,1054904,0,0,5054518,6202169,0,0,0,0,0,42500,990,1199,999,1049,3372883,653599,0,0,0,0,0,0,0,0,0,0,0,0,229043948,0,0,0,12200742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10152412,0,0,0,0,29473790,64904237,42250000,240285413,32517121,284959088,367637973,192537987,0,114971008,0,0,21964,0,0,0,0,0,0,0,0,0,21023367,0,0,0,0,0,0,0,0,0,0,0,0,76931089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5167902,499889,33614200,0,0,0,0,0,8766538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3/31/2024 0:00:00,29,4/29/2024 10:11:21 PM,1939888,453432,0,144788397,0,128085117,128085117,0,264107,349993,41993,6543,81841620,214,5349759,834067,0,0,0,0,0,0,0,14404,244000,0,0,0,268249,0,0,0,0,0,0,895,1137,442,573,94795,7449,0,0,0,0,171108,0,0,0,0,0,0,0,72347465,782449,0,0,1072283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1295885,0,0,0,0,1477024,0,0,22761100,4738266,15408963,17073349,10005814,0,13156927,0,0,692,0,0,0,0,0,0,0,0,0,699693,0,44998,0,0,0,0,0,0,0,0,0,0,240665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221434,167896,444699,0,0,0,0,0,12281959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
