"CU_NUMBER","Cycle_date","join_number","USER_ID","ACCT_RB0026","ACCT_RB0027","ACCT_RB0028","ACCT_RB0029","ACCT_RB0030","ACCT_RB0031","ACCT_RB0032","ACCT_RB0033","ACCT_RB0034","ACCT_RB0035","ACCT_RB0036","ACCT_RB0037","ACCT_RB0038","ACCT_RB0039","ACCT_RB0040","ACCT_RB0041","ACCT_RB0042","ACCT_RB0043","ACCT_RB0044","ACCT_RB0045","ACCT_RB0046","ACCT_RB0047","ACCT_RB0048","ACCT_RB0049","ACCT_RB0050","ACCT_RB0051","ACCT_RB0052","ACCT_RB0053","ACCT_RB0054","ACCT_RB0055","ACCT_RB0056","ACCT_RB0057","ACCT_RB0058","ACCT_RB0059","ACCT_RB0060","ACCT_RB0061","ACCT_RB0062","ACCT_RB0063","ACCT_RB0064","ACCT_RB0065","ACCT_RB0066","ACCT_RB0067","ACCT_RB0068","ACCT_RB0069","ACCT_RB0070","ACCT_RB0071","ACCT_RB0072","ACCT_RB0073","ACCT_RB0074","ACCT_RB0075","ACCT_RB0076","ACCT_RB0077","ACCT_RB0078","ACCT_RB0079","ACCT_RB0080","ACCT_RB0081","ACCT_RB0082","ACCT_RB0083","ACCT_RB0084","ACCT_RB0085","ACCT_RB0086","ACCT_RB0087","ACCT_RB0088","ACCT_RB0089","ACCT_RB0090","ACCT_RB0091","ACCT_RB0092","ACCT_RB0093","ACCT_RB0094","ACCT_RB0095","ACCT_RB0096","ACCT_RB0097","ACCT_RB0098","ACCT_RB0099","ACCT_RB0100","ACCT_RB0101","ACCT_RB0102","ACCT_RB0103","ACCT_RB0104","ACCT_RB0105","ACCT_RB0106","ACCT_RB0107","ACCT_RB0108","ACCT_RB0109","ACCT_RB0110","ACCT_RB0111","ACCT_RB0112","ACCT_RB0113","ACCT_RB0114","ACCT_RB0115","ACCT_RB0116","ACCT_RB0117","ACCT_RB0118","ACCT_RB0119","ACCT_RB0120","ACCT_RB0121","ACCT_RB0122","ACCT_RB0123","ACCT_RB0124","ACCT_RB0125","ACCT_RB0126","ACCT_RB0127","ACCT_RB0128","ACCT_RB0129","ACCT_RB0130","ACCT_RB0131","ACCT_RB0132","ACCT_RB0133","ACCT_RB0134","ACCT_RB0135","ACCT_RB0136","ACCT_RB0137","ACCT_RB0138","ACCT_RB0139","ACCT_RB0140","ACCT_RB0141","ACCT_RB0142","ACCT_RB0143","ACCT_RB0144","ACCT_RB0145","ACCT_RB0146","ACCT_RB0147","ACCT_RB0148","ACCT_RB0149","ACCT_RB0150","ACCT_RB0151","ACCT_RB0152","ACCT_RB0153","ACCT_RB0154","ACCT_RB0155","ACCT_RB0156","ACCT_RB0157","ACCT_RB0158","ACCT_RB0159","ACCT_RB0160","ACCT_RB0161","ACCT_RB0162","ACCT_RB0163","ACCT_RB0164","ACCT_RB0165","ACCT_RB0166","ACCT_RB0167","ACCT_RB0168","ACCT_RB0169","ACCT_RB0170","ACCT_RB0171","ACCT_RB0172","ACCT_RB0177","ACCT_RL0001","ACCT_RL0002","ACCT_RL0003","ACCT_RL0004","ACCT_RL0005","ACCT_RL0006","ACCT_RL0007","ACCT_RL0008","ACCT_RL0009","ACCT_RL0010","ACCT_RL0011","ACCT_RL0012","ACCT_RL0013","ACCT_RL0014","ACCT_RL0015","ACCT_RL0016","ACCT_RL0017","ACCT_RL0018","ACCT_RL0019","ACCT_RL0020","ACCT_RL0021","ACCT_RL0022","ACCT_RL0023","ACCT_RL0024","ACCT_RL0025","ACCT_RL0026","ACCT_RL0027","ACCT_RL0028","ACCT_RL0029","ACCT_RL0030","ACCT_RL0031","ACCT_RL0032","ACCT_RL0033","ACCT_RL0034","ACCT_RL0035","ACCT_RL0036","ACCT_RL0037","ACCT_RL0038","ACCT_RL0039","ACCT_RL0040","ACCT_RL0041","ACCT_RL0042","ACCT_RL0043","ACCT_RL0044","ACCT_RL0045","ACCT_RL0046","ACCT_RL0047","ACCT_RL0048","ACCT_RL0050","ACCT_SH0013","ACCT_SH0018","ACCT_SH0880","ACCT_SL0018","ACCT_SL0019","ACCT_SL0020","ACCT_SL0021","ACCT_SL0022","ACCT_SL0023","ACCT_SL0024","ACCT_SL0026","ACCT_SL0028","ACCT_SL0029","ACCT_SL0030","ACCT_SL0032","ACCT_SL0033","ACCT_SL0034","ACCT_SL0035","ACCT_LR0001","ACCT_LR0002","ACCT_LR0003","ACCT_LR0004","ACCT_LR0005","ACCT_LR0006","ACCT_LR0007","ACCT_LR0008","ACCT_LQ0060","ACCT_LQ0061","ACCT_LQ0062","ACCT_NW0004"
1,3/31/2024 0:00:00,2,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,2361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8953804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30223,30223,8923581,0,-30223,-30223,0,0,0,0,0,162019,0,108220,108220,0,0,0,0,0,0,0,11182372,77997,77997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11182372,0,0,30223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9856392,9856392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5025
6,3/31/2024 0:00:00,7,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,33395559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159505768,0,0,0,0,0,0,0,1559907,0,0,0,0,0,0,0,0,3132468,3132468,191021928,0,-3132468,-3132468,0,0,0,0,0,16393347,0,2060044,2060044,0,0,0,0,0,0,0,275381898,-1072424,-1072424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275381898,0,0,3132468,95,15739557,0,91,6074734,292875,7,872484,0,16,1040999,54400,0,0,0,23727774,347275,92,4269758,42000,0,0,0,0,0,0,96,5091189,103000,9360947,145000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,33088721,492275,7121677,208672795,241409795,32737000,298,5264121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3/31/2024 0:00:00,11,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,6445901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19438805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857990,857990,26192625,0,-857990,-857990,0,0,0,0,0,9506917,0,551490,551490,0,0,0,0,0,0,0,61526262,-306500,-306500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61526262,0,0,857990,7,713510,0,65,3416670,50000,0,0,0,0,0,0,0,0,0,4130180,50000,78,3449434,336900,0,0,0,0,0,0,4,32196,0,3481630,336900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,7611810,386900,0,56663796,56663796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3/31/2024 0:00:00,12,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,4857876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624495680,0,0,0,0,0,0,0,1108973,0,0,0,0,0,0,0,0,3301896,3301896,930066562,0,-3301896,-3301896,0,0,0,0,0,30957498,0,7623047,7623047,0,0,0,0,0,0,0,1058083728,4321151,4321151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058083728,0,0,3301896,243,49842720,10440334,791,82018467,8304018,0,0,0,292,92813580,2252900,382,19161544,1622537,243836311,22619789,0,0,0,0,0,0,0,0,0,1334,63927494,6693664,63927494,6693664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3042,307763805,29313453,189377021,842713969,919926247,77212278,3,1108973,0,0,0,0,0,0,0,0,235,0,0,0,0,1,108265946,1023,0,0,0,0,0,220000000,0,0,1526418
16,3/31/2024 0:00:00,14,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,40342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2769332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28574,28574,3872901,0,-28574,-28574,0,0,0,0,0,133035,0,84714,84714,0,0,0,0,0,0,0,9656630,56140,56140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9656630,0,0,28574,0,0,0,1,71562,0,9,676412,0,0,0,0,0,0,0,747974,0,6,242871,0,7,141296,0,0,0,0,0,0,0,384167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1132141,0,0,8380329,8380329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,3/31/2024 0:00:00,16,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,8272857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1449703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32698,32698,1417005,0,-32698,-32698,0,0,0,0,0,102655,0,72549,72549,0,0,0,0,0,0,0,10351728,39851,39851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10351728,0,0,32698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7408088,7408088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3/31/2024 0:00:00,17,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,26758952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109420566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477727,1477727,245603463,0,-1477727,-1477727,0,0,0,0,0,8343807,0,2599757,2599757,0,0,0,0,0,0,0,324005537,1122030,1122030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324005537,0,0,1477727,26,6089389,0,37,5361439,0,0,0,0,0,0,0,5,731003,0,12181831,0,1069,79453228,1743265,0,0,0,0,0,0,1403,46025565,5418000,125478793,7161265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2540,137660624,7161265,64536134,272480946,272480946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5180152,0,564939
26,3/31/2024 0:00:00,19,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,111464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5122346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70049,70049,6349511,0,-70049,-70049,0,0,0,0,0,383777,0,187975,187975,0,0,0,0,0,0,0,21211275,117926,117926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21211275,0,0,70049,0,0,0,22,1297214,0,0,0,0,0,0,0,0,0,0,1297214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1297214,0,0,18693821,18693821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35625
28,3/31/2024 0:00:00,21,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,77532451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538707231,0,0,0,0,0,0,0,87334611,0,0,0,0,0,0,-588375,0,12384610,12384610,1102403766,-588375,-12384610,-12384610,0,0,0,0,0,114707738,0,10152412,10152412,0,0,0,0,0,0,0,1314698031,-2232198,-2232198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314698031,0,0,12384610,1017,181810374,7091282,860,68351180,164678,10,842741,0,0,0,0,333,90895330,150000,341899625,7405960,1185,49824776,2731924,0,0,0,0,0,0,2263,96433757,14239411,146258533,16971335,4,99108,0,10,184734,0,0,0,0,0,0,0,283842,0,5682,488442000,24377295,145570173,1080270403,1122520403,42250000,8,11806310,0,0,26,5093585,26,0,26,5093585,2758,0,0,755,7938340,1,80481688,612,0,0,0,0,0,0,0,0,5646897
42,3/31/2024 0:00:00,29,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,8766000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32882021,0,0,0,0,0,0,0,240665,0,0,0,0,0,0,0,0,506267,506267,81335353,0,-506267,-506267,0,0,0,0,0,4523234,0,1295885,1295885,0,0,0,0,0,0,0,144788397,789618,789618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144788397,0,0,506267,67,11920040,165000,121,10058180,0,0,0,0,0,0,0,1,114715,0,22092935,165000,235,12871442,1153701,49,1472598,0,0,0,0,429,12281959,1365970,26625999,2519671,6,280828,0,0,0,0,0,0,0,0,0,0,280828,0,908,48999762,2684671,14751682,128085117,128085117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100174
