"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_001","ACCT_011A","ACCT_011B1","ACCT_011B2","ACCT_013A","ACCT_013B1","ACCT_013B2","ACCT_014","ACCT_017","ACCT_018A","ACCT_018B1","ACCT_018B2","ACCT_021A","ACCT_022A","ACCT_023A","ACCT_041A","ACCT_058A","ACCT_058B1","ACCT_058B2","ACCT_062","ACCT_063","ACCT_076","ACCT_077","ACCT_078","ACCT_079","ACCT_081","ACCT_082","ACCT_090","ACCT_099","ACCT_110","ACCT_119","ACCT_120","ACCT_124","ACCT_125A","ACCT_125B","ACCT_125C","ACCT_125D","ACCT_125E","ACCT_126A","ACCT_126B","ACCT_126C","ACCT_126D","ACCT_126E","ACCT_131","ACCT_132","ACCT_133","ACCT_134","ACCT_135","ACCT_140","ACCT_142","ACCT_143","ACCT_144","ACCT_210","ACCT_230","ACCT_250","ACCT_260","ACCT_270","ACCT_280","ACCT_290","ACCT_305","ACCT_310","ACCT_314","ACCT_315","ACCT_320","ACCT_360","ACCT_370","ACCT_381","ACCT_384","ACCT_385","ACCT_389","ACCT_391","ACCT_393","ACCT_395","ACCT_396","ACCT_397","ACCT_399","ACCT_420","ACCT_430","ACCT_440","ACCT_451","ACCT_452","ACCT_453","ACCT_454","ACCT_455","ACCT_458","ACCT_460","ACCT_463","ACCT_475","ACCT_481","ACCT_482","ACCT_532","ACCT_547","ACCT_548","ACCT_549","ACCT_553","ACCT_554","ACCT_555","ACCT_560","ACCT_561","ACCT_564A","ACCT_564B","ACCT_593","ACCT_594","ACCT_595","ACCT_596","ACCT_599","ACCT_002","ACCT_115","ACCT_116","ACCT_117","ACCT_350","ACCT_565","Acct_661A","Acct_769A","Acct_769B","Acct_820A","Acct_954","Acct_925A","Acct_925B1","Acct_925B2","Acct_010A","Acct_010B","Acct_010C","Acct_730A","Acct_730B","Acct_730C","Acct_799I","Acct_814A","Acct_889A","Acct_889B","Acct_892A","Acct_892B","Acct_945A","Acct_945B","Acct_996","Acct_997","Acct_998","Acct_999","ACCT_779A","ACCT_785A","ACCT_798A","ACCT_814B","ACCT_865A","ACCT_900A","ACCT_900B","ACCT_900C","ACCT_900D","ACCT_900F","ACCT_903","ACCT_904","ACCT_905","ACCT_906","ACCT_961A","ACCT_972A","ACCT_972B","ACCT_972C","ACCT_972D","ACCT_972E","ACCT_973A","ACCT_973B","ACCT_976B","ACCT_982A","ACCT_982B","ACCT_982C","ACCT_982D","ACCT_982E","ACCT_983A","ACCT_983B","ACCT_986B","ACCT_617A","ACCT_618A","ACCT_718A","ACCT_617B","ACCT_617C","ACCT_618B","ACCT_618C","ACCT_883A","ACCT_883B1","ACCT_883B2","ACCT_883C","ACCT_881","ACCT_882","ACCT_822","ACCT_567","ACCT_568","ACCT_020C","ACCT_021C","ACCT_022C","ACCT_023C","ACCT_041C","ACCT_020D","ACCT_021D","ACCT_022D","ACCT_023D","ACCT_041D","ACCT_713A","ACCT_714A","ACCT_715A","ACCT_716A","ACCT_020E","ACCT_021E","ACCT_022E","ACCT_023E","ACCT_041E","ACCT_020F","ACCT_021F","ACCT_022F","ACCT_023F","ACCT_041F","ACCT_065A","ACCT_065B","ACCT_065C","ACCT_065D","ACCT_065E","ACCT_067A","ACCT_067B","ACCT_067C","ACCT_550J","ACCT_550K","ACCT_550L","ACCT_551J","ACCT_551K","ACCT_551L","ACCT_029A","ACCT_029B","ACCT_029C","ACCT_029D","ACCT_029E","ACCT_030A","ACCT_030B","ACCT_030C","ACCT_030D","ACCT_030E","ACCT_032A","ACCT_032B","ACCT_032C","ACCT_032D","ACCT_032E","ACCT_704F1","ACCT_704F2","ACCT_704F3","ACCT_704F4","ACCT_811B","ACCT_PP0027","ACCT_PP0029","ACCT_PP0031"
1,3/31/2024 0:00:00,2,0,0,0,0,7796617,2059775,0,11182372,0,7796617,2059775,0,0,0,0,8,0,0,0,0,122023,2,0,0,0,0,0,0,0,134025,0,12879,0,0,0,0,0,0,0,0,0,0,0,6812,0,0,0,0,0,0,0,0,48253,38,3091,38828,300,1703,1938,0,0,0,0,0,1747,3698085,0,0,2220110,0,0,0,0,0,789794,0,0,0,0,107,323,0,1276,63,0,1769,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,146904,0,18743,32327,0,29922,0,2361,0,0,0,0,0,0,0,0,39119,1105292,0,0,0,0,0,0,0,0,0,0,1327464,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,17159,1662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3/31/2024 0:00:00,7,0,0,0,0,200765794,6941260,965741,275381898,0,202748794,9620260,29040741,0,0,0,269,0,0,0,0,122023,2,0,0,0,0,0,0,0,3416745,0,359245,0,0,0,0,0,0,0,0,0,0,0,370345,0,0,0,0,0,0,0,0,1746460,42221,132601,1324890,83663,193665,79592,0,0,0,0,10500,14922,60803628,0,0,35296007,0,0,0,0,18647712,26150637,0,0,0,550000,1132,14330,446,33790,220,110,82765,0,0,0,0,0,0,0,0,0,0,0,0,0,91,6,0,0,0,0,0,0,3775990,0,1341153,788192,0,109336,0,351932,188139,0,7000000,0,0,0,0,0,4301286,29815214,0,0,0,0,0,0,0,0,0,0,30167281,1095,0,0,0,82500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,5264121,0,0,0,0,0,0,0,0,0,21560000,0,0,7774729,1672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3/31/2024 0:00:00,11,0,0,0,0,55486886,911636,265274,61526262,0,55486886,911636,265274,0,0,0,113,0,0,0,0,32023,2,0,0,0,0,0,0,0,666667,0,142957,0,0,0,0,0,0,0,0,0,0,0,321880,0,0,0,0,0,0,0,0,503717,30442,124430,156892,37495,183612,157914,0,0,0,0,2822,4110,4287943,0,0,3920326,0,0,0,0,3579795,7539924,0,0,0,-4093,170,6174,159,15086,582,358,22529,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,0,0,0,0,809624,0,596880,101205,0,-53473,0,180000,5066,0,0,0,0,0,0,0,230394,1935425,0,0,0,0,0,0,0,0,-1349327,0,5867901,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000000,0,0,5652175,1723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3/31/2024 0:00:00,12,0,0,0,0,561207454,110456857,171049658,1058083728,0,566286732,157197857,196441658,0,0,0,117,0,0,0,0,122023,2,0,0,0,0,0,0,0,12254211,0,1058966,0,0,0,0,0,0,0,0,0,0,0,1345025,0,0,0,0,0,0,0,0,2982423,122163,228390,1875609,169417,459018,136377,0,0,0,0,38240,19350,293428466,0,0,287986175,0,0,0,0,9998406,21202890,0,0,-21573,0,8210,32609,2299,72156,76,504,115876,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,13313177,0,2924328,7486577,0,2066424,0,0,0,0,15000000,0,0,0,0,0,5349046,86752746,0,0,0,0,0,0,0,0,-1073834,0,102703334,969,0,48182950,0,256783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19263,541862940,0,0,0,0,0,0,23000000,7000000,30000000,501377840,0,0,485825,1663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1594875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,3/31/2024 0:00:00,14,0,0,0,0,8380329,0,0,9656630,0,8380329,0,0,0,0,0,2,0,0,0,0,22024,2,0,0,0,0,0,0,0,53295,0,40363,0,0,0,0,0,0,0,0,0,0,0,6993,0,0,0,0,0,0,0,0,53088,0,900,12495,292,20670,4581,0,0,0,0,0,620,1284776,0,0,977601,0,0,0,0,117970,250155,0,0,0,0,59,352,7,1118,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,93658,0,14477,10098,0,5391,0,40342,13694,0,0,0,0,0,0,0,98410,663740,0,0,0,0,0,0,0,0,0,0,1274421,1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,3/31/2024 0:00:00,16,0,0,0,0,7408088,0,0,10351728,0,7408088,0,0,0,0,0,1,0,0,0,0,62023,3,0,0,0,0,0,0,0,25346,0,64564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19962,0,3969,2406,0,882,6575,0,0,0,0,0,723,804512,0,0,236818,0,0,0,0,0,367028,0,0,0,0,0,0,0,1797,0,0,1797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,89910,0,0,26001,0,29392,2857,0,0,0,0,0,0,0,0,0,30,559181,0,0,0,0,0,0,0,0,0,0,2942364,2842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3/31/2024 0:00:00,17,0,0,0,0,266478186,5418746,584014,324005537,0,266478186,5418746,584014,0,0,0,18,0,0,0,0,92023,2,0,0,0,0,0,0,0,3394217,0,723623,0,0,0,0,0,0,0,0,0,0,0,84703,0,0,0,0,0,0,0,0,878740,8219,100978,402947,78794,278774,150110,0,107360,0,0,13320,28678,48313861,0,0,19078903,0,0,0,0,14205328,15123984,0,0,0,0,4006,11054,1376,23114,0,1588,41138,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,4117840,0,513838,1275415,0,1308343,0,0,475214,0,0,0,0,0,0,0,798693,22638422,0,0,0,0,0,0,0,0,-7379,0,50233018,1548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36191078,0,0,117872,1660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,3/31/2024 0:00:00,19,0,0,0,0,16842845,1850976,0,21211275,0,16842845,1850976,0,0,0,0,0,0,0,0,0,122023,3,0,0,0,0,0,0,0,83672,0,71583,0,0,0,0,0,0,0,0,0,0,0,33415,0,0,0,0,0,0,0,0,63381,67,9647,20305,2028,1014,44500,0,0,0,0,843,6756,1451667,0,0,2380169,0,0,0,0,285118,196833,0,0,0,0,106,636,0,1203,28,0,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,155255,0,33415,13806,0,26323,0,111464,0,0,0,0,0,0,0,0,304406,1707117,0,0,0,0,0,0,0,0,0,0,2133568,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,37371,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3/31/2024 0:00:00,21,0,0,0,0,979343557,99442380,1484466,1314698031,0,995164557,125871380,1484466,0,0,0,805,0,0,0,0,62023,2,0,0,0,0,0,0,0,19368486,0,4988305,0,0,0,0,0,0,0,0,0,0,0,3197010,0,0,0,0,0,0,0,0,7490359,170286,851849,1221194,373708,406819,1415183,0,0,0,0,59128,212216,379979475,0,0,42699392,0,0,0,0,7086,62706124,0,0,11388,47520,11911,56060,3047,121257,0,9139,243914,0,0,0,0,0,0,0,0,0,0,0,0,0,297,24,0,0,0,0,0,0,24356791,0,4555588,11256687,0,1237463,0,5359,58282,0,0,0,0,0,0,1291803970,6902140,13151936,0,0,0,0,0,0,0,0,-2337274,0,120617905,930,0,374402586,0,934481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16692,335330133,0,0,0,0,0,19500000,20000000,25404237,64904237,519144593,0,0,68494609,1648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6686689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3/31/2024 0:00:00,29,0,0,0,0,125432716,1717327,935074,144788397,0,125432716,1717327,935074,0,0,0,130,0,0,0,0,92023,3,0,0,0,0,0,0,0,1072516,0,415054,0,0,0,0,0,0,0,0,0,0,0,263982,0,0,0,0,0,0,0,0,502171,1253,48990,135932,14892,53374,287162,0,17837,0,0,6000,4672,8756472,0,0,16300406,0,0,0,0,3086342,4075248,0,0,0,-16750,900,8486,438,16602,48,275,26749,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,0,0,1487570,0,338675,268249,0,485713,0,66000,13271,0,0,0,0,0,0,0,1394880,10431930,0,0,0,0,0,0,0,0,0,0,15313159,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13140,0,0,0,0,0,0,0,0,0,10000000,0,0,296983,1609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
