"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017","ACCT_AS0042"
67494,3/31/2024 0:00:00,22960,0,26351688,7544622,0,1,0,3051250,0,0,0,0,0,0,0,0,0,0,0,0,5106298,2417830,1475475,7962782,0,16962386,0,0,0,0,0,0,0,-1201205,0,582631,0,0,0,582631,0,0,0,0,0,422093842,2,13383,0,0,0,0,2,13383,07/01/2023,1095803,477581354,0,0,0,0,0,0,0,0,0,0,0,1965882,0,0,0,0,0,0,0,0,0,0
67499,3/31/2024 0:00:00,22846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372947,0,0,0,0,0,0,0,0,,0,458891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67505,3/31/2024 0:00:00,21762,0,0,488645,0,1,0,231529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,250000,0,0,0,500000,0,0,0,137577,0,0,0,137577,0,0,0,0,0,35504850,26,451724,451724,0,0,0,26,451724,07/01/2023,154753,38804610,0,0,0,0,0,0,0,0,0,0,0,9634,0,0,0,0,0,0,0,0,0,0
67507,3/31/2024 0:00:00,22669,0,0,1485892,0,1,0,765063,0,0,0,0,0,0,0,0,0,0,0,0,1172316,0,0,0,0,1172316,0,0,0,0,0,0,0,-1956,0,154334,0,0,0,154334,0,0,0,0,0,119747298,0,0,0,0,0,0,0,0,01/01/2023,0,130402700,0,0,0,0,0,0,0,0,0,0,0,95012,0,0,0,0,0,209,3643602,0,0,0
67508,3/31/2024 0:00:00,22958,0,527851,2334122,0,1,0,3868387,0,0,0,0,0,0,0,0,0,0,0,0,14162912,9642785,27252035,44753299,209517,96020548,0,0,0,0,0,0,0,-14693612,0,2076221,5000,0,0,2081221,0,0,0,0,0,691672433,0,0,0,0,0,0,0,0,01/01/2023,749110,737008218,0,0,0,0,0,0,0,0,0,0,0,922121,0,0,0,0,0,0,0,0,0,5000
67510,3/31/2024 0:00:00,22736,0,0,259383,0,1,0,569751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246266,0,0,0,246266,0,0,0,0,0,22728119,0,0,0,0,0,0,0,0,Fiscal Year 2022,111823,27426428,0,0,0,0,0,0,0,0,0,0,0,26863,0,0,0,0,0,0,0,0,0,0
67511,3/31/2024 0:00:00,22672,0,916,517180,0,1,0,275011,0,0,0,0,0,0,0,0,0,0,0,0,11116,0,0,0,0,11116,2005000,6930490,0,963139,0,9898629,0,-225,0,43361,0,0,0,43361,0,0,0,0,0,86829783,0,0,0,0,0,0,0,0,01/01/2023,86640,96813759,0,0,0,0,0,0,0,0,0,0,0,112394,0,0,0,0,0,0,0,0,0,0
67512,3/31/2024 0:00:00,22660,0,0,275340,161496,1,0,324413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3397,6161,0,0,0,9558,0,0,0,-1374,0,0,0,-1374,0,0,0,0,0,53486470,0,0,0,0,0,0,0,0,01/01/2023,88838,65120955,0,0,0,0,0,0,0,0,0,0,0,8066,0,0,0,0,0,0,0,0,0,0
67516,3/31/2024 0:00:00,22874,0,0,255370,0,1,0,211851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497000,1741000,1099000,0,0,3337000,0,0,0,7774,0,0,0,7774,0,0,0,0,0,33924977,0,0,0,0,0,0,0,0,01/01/2023,143219,38352666,0,0,0,0,0,0,0,0,0,0,0,40373,0,0,0,0,0,0,0,0,0,0
67517,3/31/2024 0:00:00,22778,0,0,1202371,0,1,0,222527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18985156,30035817,3178000,0,0,52198973,0,0,0,222527,0,0,0,222527,0,0,0,0,0,71646628,0,0,0,0,0,0,0,0,01/01/2023,30104,84174460,0,0,0,0,0,0,0,0,0,0,0,9998,0,0,0,0,0,641,1961421,0,0,0
67519,3/31/2024 0:00:00,22721,0,0,346552,0,1,0,60283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24619,0,0,0,24619,0,0,0,0,0,15700382,0,0,0,0,0,0,0,0,01/01/2023,0,18806819,0,0,0,0,0,0,0,0,0,0,0,33887,0,0,0,0,0,0,0,0,0,0
67520,3/31/2024 0:00:00,22710,0,0,0,0,1,0,2934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6408729,0,0,0,0,0,0,0,0,01/01/2023,0,9934035,0,0,0,0,0,0,0,0,0,0,0,715,0,0,0,0,0,0,0,0,0,0
67521,3/31/2024 0:00:00,22521,0,0,5407212,685957,1,0,2796516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416529,0,0,0,416529,0,0,0,0,0,250854479,0,0,0,0,0,0,0,0,Fiscal Year 2022,463656,293716555,0,0,0,0,0,0,0,0,0,0,0,641416,0,0,0,0,0,4,1424478,0,0,0
67531,3/31/2024 0:00:00,22725,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2193818,0,0,0,0,0,0,0,0,,0,3464173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67532,3/31/2024 0:00:00,22645,0,2009170,3807269,0,1,0,688127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7422333,18947977,19522903,6731090,0,52624303,0,0,0,71770,0,0,0,71770,0,0,0,0,0,273461696,0,0,0,0,0,0,0,0,01/01/2023,352800,307774729,0,0,0,0,0,0,0,0,0,0,0,532070,0,0,0,0,0,0,0,0,0,0
67534,3/31/2024 0:00:00,22884,0,0,453856,0,1,0,64171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17019731,0,0,0,0,0,0,0,0,01/01/2023,30575,20024529,0,0,0,0,0,0,0,0,0,0,0,3046,0,0,0,0,0,0,0,0,0,0
67535,3/31/2024 0:00:00,22867,0,161594871,4833982,1709904,1,0,11310443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21074007,7234128,0,0,0,28308135,0,0,0,2580139,0,0,0,2580139,0,0,0,0,0,1351127841,0,0,0,0,0,0,0,0,07/01/2023,7707245,1608280491,0,0,0,0,0,0,0,0,0,0,0,2661995,0,0,0,0,0,0,0,0,0,0
67537,3/31/2024 0:00:00,22810,0,0,111499,55736,1,0,67184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,3000,0,0,0,0,0,18750636,0,0,0,0,0,0,0,0,03/01/2023,0,21889744,0,0,0,0,0,0,0,0,0,0,0,2214,0,0,0,0,0,0,0,0,0,0
67538,3/31/2024 0:00:00,21815,0,45202698,3857099,483795,1,0,1045096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2093599,13965509,4386335,8901587,0,29347030,0,0,0,143000,0,0,0,143000,0,0,0,0,0,364228918,0,0,0,0,0,0,0,0,Fiscal Year 2022,0,406999954,0,0,0,0,0,0,0,0,0,0,0,635871,0,0,0,0,0,0,0,0,0,0
67541,3/31/2024 0:00:00,24333,0,8105443,1319468,1390484,1,0,3357877,0,0,0,0,0,0,0,0,0,0,0,0,29889852,10627251,31761783,41694311,5900899,119874096,0,0,0,0,0,0,0,-15729589,0,150206,0,0,-14895,135311,0,0,0,0,58592,694816096,3,14598,11126,0,0,0,2,7654,10/01/2023,20546,795380192,0,0,0,0,0,0,0,0,0,0,0,773091,0,0,0,0,0,0,0,0,0,0
67542,3/31/2024 0:00:00,22661,0,0,71732,0,1,0,53088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6656,0,0,0,6656,0,0,0,0,0,19017047,0,0,0,0,0,0,0,0,07/01/2023,22676,21038832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67544,3/31/2024 0:00:00,22696,0,0,667943,0,1,0,665478,0,0,0,0,0,0,0,0,0,0,0,0,4129248,325568,671011,2168388,0,7294215,137607,1256867,414438,16749204,0,18558116,0,-544268,0,184405,0,0,0,184405,0,0,0,0,0,67649166,0,0,0,0,0,0,0,0,01/01/2023,328007,83116649,0,0,0,0,0,0,0,0,0,0,0,74978,0,0,0,0,0,0,0,0,0,0
67545,3/31/2024 0:00:00,22989,0,0,205089,0,1,0,39060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3991,0,0,0,3991,0,0,0,0,0,29803850,0,0,0,0,0,0,0,0,01/01/2023,0,34612205,0,0,0,0,0,0,0,0,0,0,0,28115,0,0,0,0,0,0,0,0,0,0
67547,3/31/2024 0:00:00,22802,0,0,53195,0,1,0,31918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245000,490000,245000,0,0,980000,0,0,0,10272,0,0,0,10272,0,0,0,0,0,18974766,0,0,0,0,0,0,0,0,03/01/2023,-86023,24736172,0,0,0,0,0,0,0,0,0,0,0,14924,0,0,0,0,0,0,0,0,0,0
67549,3/31/2024 0:00:00,22757,0,0,45796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4529500,0,0,0,0,0,0,0,0,,0,5265296,0,0,0,0,0,0,0,0,0,0,0,4273,0,0,0,0,0,0,0,0,0,0
67550,3/31/2024 0:00:00,22650,0,0,1661718,0,1,0,431222,0,0,0,0,0,0,0,0,0,0,0,0,1194796,2860941,3241603,3139599,911042,11347981,0,0,0,0,0,0,0,-1286965,0,78426,0,0,-36,78390,0,0,0,0,0,94566135,0,0,0,0,0,0,0,0,01/01/2023,30859,104791115,0,0,0,0,0,0,0,0,0,0,0,22489,0,0,0,0,0,0,0,0,0,0
67554,3/31/2024 0:00:00,22768,0,0,710337,0,1,0,422150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241000,2345067,0,0,0,3586067,0,0,0,56929,0,32774,0,89703,0,0,0,0,0,65452239,0,0,0,0,0,0,0,0,01/01/2023,301874,73399266,0,0,0,0,0,0,0,0,0,0,0,133959,0,0,0,0,0,0,0,0,0,0
