"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017","ACCT_AS0042"
1,6/30/2024 0:00:00,2,0,0,79697,0,1,0,27474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11495,0,0,0,11495,0,0,0,0,0,9767809,0,0,0,0,0,0,0,0,03/01/2023,7500,11114150,0,0,0,0,0,0,0,0,0,0,0,24209,0,0,0,0,0,0,0,0,0,0
6,6/30/2024 0:00:00,7,0,0,5767975,0,1,0,3219125,0,0,0,0,0,0,0,0,0,0,0,0,6200409,19627993,5101160,2047005,0,32976567,0,0,0,0,0,0,0,-2361480,0,1100920,0,0,-808,1100112,0,0,0,0,63837,253454955,0,0,0,0,0,0,0,0,01/01/2023,0,274014841,0,0,0,0,0,0,0,0,0,0,0,903216,0,0,0,0,0,136,1973327,0,0,0
12,6/30/2024 0:00:00,11,0,357790,627850,91769,1,0,842744,0,0,325000,0,0,325000,0,0,0,0,0,0,0,0,0,0,0,0,1988013,3434694,473818,0,0,5896524,0,0,0,194361,0,0,0,194361,0,0,0,0,0,55410098,0,0,0,0,0,0,0,0,04/01/2023,0,60169418,0,0,0,0,0,0,0,0,0,0,0,566471,0,0,0,0,0,0,0,0,0,0
13,6/30/2024 0:00:00,12,0,52369094,3262701,3668158,1,0,3285293,0,0,0,0,0,0,0,0,0,0,0,0,0,302011,0,0,0,302011,0,0,0,0,0,0,0,-20112,0,1271077,0,0,0,1271077,0,0,0,0,0,987001776,0,0,0,0,0,0,0,0,01/01/2023,2278236,1076266338,0,0,0,0,0,0,0,0,0,0,0,3213682,0,0,0,0,0,0,0,0,0,0
16,6/30/2024 0:00:00,14,0,0,121436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8341687,0,0,0,0,0,0,0,0,,0,9617599,0,0,0,0,0,0,0,0,0,0,0,15687,0,0,0,0,0,0,0,0,0,0
19,6/30/2024 0:00:00,16,0,0,30,0,1,0,35272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5410000,1905000,0,0,0,7315000,0,0,0,0,0,0,0,0,0,0,0,0,0,6819473,0,0,0,0,0,0,0,0,Fiscal Year 2022,0,9804128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6/30/2024 0:00:00,17,0,31305616,436065,995955,1,0,1630217,3145936,0,0,0,0,3145936,0,0,0,0,0,0,2452225,1276128,7937932,339608,0,12005893,0,0,0,0,0,0,0,-1877766,0,240049,0,0,0,240049,0,0,0,0,0,288057419,0,0,0,0,0,0,0,0,12/01/2023,564939,337477637,0,0,0,0,0,0,0,0,0,0,0,690528,0,100834,26,0,0,0,0,0,0,0
26,6/30/2024 0:00:00,19,0,0,316247,0,1,0,70890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19117975,0,0,0,0,0,0,0,0,01/01/2023,53172,21260534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,6/30/2024 0:00:00,21,0,7272718,6637553,0,1,0,13580413,0,0,0,0,0,0,0,0,0,0,0,0,0,1909388,12484431,40582028,3882646,58858493,0,0,0,0,0,0,0,-15168141,0,8064347,0,0,0,8064347,0,0,0,0,0,1243646406,7,222424,42785,0,0,0,4,38282,07/01/2023,5646897,1349300530,0,0,0,0,0,0,0,0,0,0,0,3721743,0,0,0,0,0,2,2498091,0,0,0
42,6/30/2024 0:00:00,29,0,0,1534759,0,1,0,518227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3300000,5100000,300000,0,0,8700000,0,0,0,34268,0,0,0,34268,0,0,0,0,0,130694845,0,0,0,0,0,0,0,0,10/01/2023,100174,146355906,0,0,0,0,0,0,0,0,0,0,0,218865,0,0,0,0,0,0,0,0,0,0
47,6/30/2024 0:00:00,30,0,0,266823,0,1,0,95330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,0,0,250000,0,0,0,10000,0,0,0,10000,0,0,0,0,0,51413122,0,0,0,0,0,0,0,0,02/01/2023,0,58064193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,6/30/2024 0:00:00,31,0,0,409628,0,1,0,247480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4946000,6295000,0,0,0,11241000,0,0,0,69478,0,0,-1300,68178,0,0,0,0,270,51904340,0,0,0,0,0,0,0,0,Fiscal Year 2022,166396,64323913,0,0,0,0,0,0,0,0,0,0,0,232874,0,0,0,0,0,0,0,0,0,0
51,6/30/2024 0:00:00,32,0,735827187,27435365,71581943,1,0,64344853,56593,0,0,900686,9775943,10733222,0,0,0,0,0,0,17203534,20754754,187727407,521965031,36249502,783900228,274332016,49247628,32666889,65104197,1957364,423308093,0,-190966420,0,5524000,-926,0,157405,5680479,0,0,0,0,596440,8592569609,4,91006,91006,0,0,0,4,91006,01/01/2023,23240646,9207335943,0,0,0,0,0,0,0,0,0,0,0,29814919,0,5608306,0,0,0,0,0,0,0,-6266
53,6/30/2024 0:00:00,33,0,0,674031,0,1,0,320603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1500000,1000000,0,0,4500000,0,0,0,69892,0,0,0,69892,0,0,0,0,0,59115941,0,0,0,0,0,0,0,0,01/01/2023,0,64099102,0,0,0,0,0,0,0,0,0,0,0,137891,0,0,0,0,0,0,0,0,0,0
60,6/30/2024 0:00:00,35,0,58319526,1375228,2465800,1,0,2903309,0,0,0,0,0,0,0,0,0,0,0,0,16699880,14647064,28313910,9285001,0,68945855,0,0,0,0,0,0,0,-6143953,0,1066300,0,0,0,1066300,0,0,0,0,0,433717589,0,0,0,0,0,0,0,0,04/01/2023,663863,474796755,0,0,0,0,0,0,0,0,0,0,0,1988071,0,0,0,0,0,25,245604,0,0,0
77,6/30/2024 0:00:00,41,0,10733179,2177409,0,1,0,713767,0,0,0,0,0,0,0,0,0,0,0,0,85779,8900695,18644367,5674377,0,33305218,0,0,0,0,0,0,0,-4443006,0,211260,0,0,0,211260,0,0,0,0,0,190896743,0,0,0,0,0,0,0,0,07/01/2023,-250000,202881793,0,0,0,0,0,0,0,0,0,0,0,80717,0,0,0,0,0,0,0,0,0,0
79,6/30/2024 0:00:00,43,0,42855103,4812462,2776619,1,0,3650051,0,0,0,0,0,0,0,0,0,0,0,0,21128069,32951010,29623987,35679426,3232832,122615323,0,0,0,0,0,0,0,-14852572,0,1130000,0,0,0,1130000,0,0,0,0,402,817694235,0,0,0,0,0,0,0,0,01/01/2023,1317646,889143873,0,0,0,0,0,0,0,0,0,0,0,2581283,0,0,0,0,0,0,0,0,0,0
82,6/30/2024 0:00:00,46,0,34737683,779983,0,1,0,1743226,0,0,0,0,0,0,0,0,0,0,0,0,5870999,245000,0,0,0,6115999,0,0,0,0,0,0,0,-55485,0,650000,0,0,0,650000,0,0,0,0,0,258051140,0,0,0,0,0,0,0,0,01/01/2023,365808,294092228,0,0,0,0,0,0,0,0,0,0,0,624640,0,0,0,0,0,4,1994999,0,0,0
90,6/30/2024 0:00:00,49,0,0,0,0,1,0,92021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3124547,0,0,0,0,0,0,0,0,03/01/2023,58827,8214929,0,0,0,0,0,0,0,0,0,0,0,4623,0,0,0,0,0,0,0,0,0,0
98,6/30/2024 0:00:00,54,0,0,200,0,1,0,32161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3410000,3030000,0,0,0,6440000,0,0,0,20124,0,0,0,20124,0,0,0,0,0,10697627,0,0,0,0,0,0,0,0,03/01/2023,0,12705225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,6/30/2024 0:00:00,57,0,0,690372,0,1,0,169424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1214476,3924753,0,0,5139229,0,0,0,102035,0,0,0,102035,0,0,0,0,0,63097590,0,0,0,0,0,0,0,0,01/01/2023,-22915,75039028,0,0,0,0,0,0,0,0,0,0,0,167259,0,0,0,37,873888,0,0,0,0,0
108,6/30/2024 0:00:00,58,0,0,636075,0,1,0,230190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400000,1400000,0,0,0,14960,0,0,0,14960,0,0,0,0,0,35794021,0,0,0,0,0,0,0,0,03/01/2023,0,44502511,0,0,0,0,0,0,0,0,0,0,0,61235,0,0,0,0,0,0,0,0,0,0
110,6/30/2024 0:00:00,59,0,0,36106,0,1,0,56560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32989136,0,0,0,0,0,0,0,0,04/01/2023,0,38298844,0,0,0,0,0,0,0,0,0,0,0,2353,0,0,0,0,0,0,0,0,0,0
119,6/30/2024 0:00:00,62,0,202477,96550,0,1,0,61007,0,0,0,0,0,0,0,0,0,0,0,0,6839770,20241045,23388070,20459558,4941667,75870110,0,0,0,0,0,0,0,-9591372,0,0,0,0,0,0,0,0,0,0,0,85938099,0,0,0,0,0,0,0,0,01/01/2023,0,95540616,0,0,0,0,0,0,0,0,0,0,0,17782,0,0,0,0,0,0,0,0,0,0
120,6/30/2024 0:00:00,63,0,0,580792,0,1,0,351885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23352000,29643000,249000,0,0,53244000,0,0,0,108613,0,0,0,108613,0,0,0,0,0,110458142,0,0,0,0,0,0,0,0,01/01/2023,4328,120488595,0,0,0,0,0,0,0,0,0,0,0,62354,0,0,0,0,0,13,1056358,0,0,0
132,6/30/2024 0:00:00,69,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905806,0,0,0,0,0,0,0,0,,0,1065936,0,0,0,0,0,0,0,0,0,0,0,4500,0,0,0,0,0,0,0,0,0,0
135,6/30/2024 0:00:00,70,0,1732290,668099,0,1,0,280201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,991695,995982,2494053,4481730,0,0,0,0,0,0,0,-18270,0,23351,0,0,0,23351,0,0,0,0,0,76429047,0,0,0,0,0,0,0,0,01/01/2023,5588,85842997,0,0,0,0,0,0,0,0,0,0,0,218599,0,0,0,0,0,0,0,0,0,0
138,6/30/2024 0:00:00,72,0,0,623797,0,1,0,64059,0,0,0,0,0,0,0,0,0,0,0,0,5335165,4474164,149827,0,0,9959156,0,0,0,0,0,0,0,-259844,0,0,0,0,0,0,0,0,0,0,0,39410380,0,0,0,0,0,0,0,0,03/01/2023,0,43064302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,4330540,27,786925,0,0,0
146,6/30/2024 0:00:00,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4783020,0,0,0,0,0,0,0,0,,0,5255999,0,0,0,0,0,0,0,0,0,0,0,25791,0,0,0,0,0,0,0,0,0,0
147,6/30/2024 0:00:00,75,0,0,0,0,1,0,5488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1414370,0,0,0,0,0,0,0,0,Fiscal Year 2020,0,1561166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,6/30/2024 0:00:00,77,0,17951068,7328619,0,1,0,3583746,0,0,0,0,0,0,0,0,0,0,0,0,31072424,8424790,34452369,6730530,0,80680112,3214509,0,0,162800,0,3377309,0,-6912590,0,1708957,0,0,0,1708957,0,0,0,0,0,397184361,0,0,0,0,0,0,0,0,07/01/2023,490762,431230158,0,0,0,0,0,0,0,0,0,0,0,910582,0,0,72318,0,0,0,0,0,0,780706
151,6/30/2024 0:00:00,78,0,94639274,2607895,7367,1,0,9829428,0,0,0,0,0,0,0,0,0,0,0,0,23778724,4624624,22542925,39282110,19140236,109368618,0,0,0,0,0,0,0,-18939004,0,3093520,0,0,0,3093520,0,0,0,0,0,929413717,0,0,0,0,0,0,0,0,01/01/2023,3232555,1042463141,0,0,0,0,0,0,0,0,0,0,0,2532774,0,0,1529290,0,0,0,0,0,0,0
153,6/30/2024 0:00:00,80,0,30487,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331833,0,0,0,0,0,0,0,0,,0,419748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,6/30/2024 0:00:00,83,0,43999244,11334455,0,1,0,20153468,0,0,0,0,21939857,21939857,0,0,0,0,0,0,71269282,48894872,87106690,85508290,44844342,337623476,0,0,0,0,0,0,0,-42794165,0,5714977,0,0,0,5714977,0,0,0,0,0,2131500366,0,0,0,13,591367,531933,0,0,01/01/2023,8713806,2395245010,0,0,0,0,0,0,0,0,0,0,0,10352548,0,562664,-1420159,207,1157768,2,6046398,0,0,0
162,6/30/2024 0:00:00,85,0,15651591,561029,0,1,0,776023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950000,9050000,600000,600000,8200000,19400000,0,0,0,93000,0,0,0,93000,0,0,0,0,0,160272742,0,0,0,0,0,0,0,0,01/01/2023,122000,177195709,0,0,0,0,0,0,0,0,0,0,0,329837,0,0,0,0,0,0,0,0,0,0
167,6/30/2024 0:00:00,87,0,0,8339707,5025611,1,0,1623040,0,0,0,0,0,0,0,0,0,0,0,0,20280175,25266717,2382231,0,0,47929122,0,166672,0,0,0,166672,0,-2322450,0,82482,0,0,-33009,49473,0,0,0,0,20000,579829551,0,0,0,0,0,0,0,0,01/01/2023,351796,640819221,0,0,0,0,0,0,0,0,0,0,0,1903483,0,0,0,0,0,0,0,0,0,0
168,6/30/2024 0:00:00,88,0,0,519249,0,1,0,73205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,494556,0,744556,0,0,0,7000,0,0,0,7000,0,0,0,0,0,36480590,0,0,0,0,0,0,0,0,10/01/2023,0,39756716,0,0,0,0,0,0,0,0,0,0,0,82653,0,0,0,0,0,0,0,0,0,0
169,6/30/2024 0:00:00,89,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050529,0,0,0,0,0,0,0,0,,0,1757029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,6/30/2024 0:00:00,92,0,196936173,9171948,1937513,1,0,3992595,0,0,0,0,0,0,0,0,0,0,0,0,148142712,246668286,59763051,40405370,0,494979419,0,0,0,0,0,0,0,-39366835,0,995186,0,0,-1310,993876,0,0,0,0,3424,1453913554,0,0,0,22,76910,73393,0,0,04/01/2023,360098,1674852911,0,0,0,0,0,0,0,0,0,0,0,5752170,0,0,0,0,0,0,0,0,0,0
187,6/30/2024 0:00:00,100,0,0,198839,0,1,0,412571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496000,496000,248000,0,0,1240000,0,0,0,76360,0,0,0,76360,0,0,0,0,0,25284014,0,0,0,0,0,0,0,0,01/01/2023,296736,29385592,0,0,0,0,0,0,0,0,0,0,0,64302,0,0,0,0,0,0,0,0,0,0
195,6/30/2024 0:00:00,104,0,0,168355,0,1,0,24712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40251,0,0,0,40251,0,0,0,0,0,16140637,0,0,0,0,0,0,0,0,01/01/2023,1069,17694273,0,0,0,0,0,0,0,0,0,0,0,9907,0,0,0,0,0,0,0,0,0,0
196,6/30/2024 0:00:00,105,0,3970801,37088481,10147739,1,0,30492368,0,0,0,0,0,0,0,0,0,0,0,0,51782538,25974567,74959638,17230551,22553573,192500867,0,0,0,0,0,0,0,-25695646,0,13499998,0,0,0,13499998,0,0,0,0,0,2643683783,2,14283,7142,0,0,0,0,0,01/01/2023,19699299,2898600839,0,0,0,0,0,0,0,0,0,0,0,13497743,0,0,0,0,0,0,0,0,0,0
198,6/30/2024 0:00:00,107,0,0,58885,0,1,0,26115,3262430,0,0,0,0,3262430,0,0,0,0,0,0,0,0,0,0,0,0,4000000,4500000,0,0,0,8500000,0,0,0,-1967,0,0,0,-1967,0,0,0,0,0,37772117,0,0,0,0,0,0,0,0,01/01/2023,0,51404333,0,0,0,0,0,0,0,0,0,0,0,4686,0,-59281,0,0,0,0,0,0,0,0
199,6/30/2024 0:00:00,108,0,11648810,2565532,692233,1,0,664010,0,0,0,0,0,0,0,0,0,0,0,0,1390793,6321831,3687854,23081642,5470412,39952532,0,0,0,0,0,0,0,-6790208,0,227379,0,0,0,227379,0,0,0,0,0,185055082,0,0,0,0,0,0,0,0,01/01/2023,69660,210322790,0,0,0,0,0,0,0,0,0,0,0,761860,0,0,0,0,0,0,0,0,0,0
200,6/30/2024 0:00:00,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7203345,0,0,0,0,0,0,0,0,,0,9895161,0,0,0,0,0,0,0,0,0,0,0,4526,0,0,0,0,0,0,0,0,0,0
205,6/30/2024 0:00:00,112,0,5606680,892902,0,1,0,874307,0,0,0,0,0,0,0,0,0,0,0,0,2507635,14906870,16546079,15378395,0,49338979,0,0,0,0,0,0,0,-3106017,0,144000,0,0,0,144000,0,0,0,0,0,235696461,0,0,0,0,0,0,0,0,01/01/2023,425000,278655926,0,0,0,0,0,0,0,0,0,0,0,169114,0,0,0,0,0,0,0,0,0,0
216,6/30/2024 0:00:00,116,0,2714709,480474,0,1,0,47111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8980044,6161159,2871304,0,0,18012507,0,0,0,47111,0,0,21,47132,0,0,0,0,21,71797130,0,0,0,0,0,0,0,0,01/01/2023,77450,78312302,0,0,0,0,0,0,0,0,0,0,0,218021,0,0,0,0,0,0,0,0,0,0
220,6/30/2024 0:00:00,117,0,6575318,148760,0,1,0,150079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1469246,1989969,0,0,0,3459215,0,0,0,23568,0,0,0,23568,0,0,0,0,0,31709817,0,0,0,0,0,0,0,0,01/01/2023,101683,39484093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,6/30/2024 0:00:00,119,0,0,4040873,451283,1,0,1800726,0,0,0,0,0,0,0,0,0,0,0,0,334185,381721,358775,0,0,1074681,748000,250000,0,0,0,998000,0,-59274,0,1275912,0,0,0,1275912,0,0,0,0,0,124216641,0,0,0,0,0,0,0,0,Fiscal Year 2022,0,156648491,0,0,0,0,0,0,0,0,0,0,0,853461,0,0,0,0,0,0,0,0,0,0
227,6/30/2024 0:00:00,121,0,459578719,12708217,338876850,1,0,718164539,0,0,0,0,0,0,0,0,0,0,0,0,994673054,259404313,534697743,1380344369,32735299,3201854778,0,0,0,0,0,0,0,-223403143,0,276754029,0,0,-1027733,275726296,0,0,0,0,10062129,30675808595,0,0,0,2125,955510397,232385980,0,0,01/01/2023,601794136,33930287208,0,0,0,0,0,0,0,0,0,0,0,57049914,0,0,3,0,0,0,0,0,0,0
233,6/30/2024 0:00:00,124,0,15551230,990133,0,1,0,628007,0,0,0,0,0,0,0,0,0,0,0,0,1897170,6406621,4165401,2956347,142063,15567602,0,0,0,0,0,0,0,-1752396,0,146782,0,0,0,146782,0,0,0,0,0,189670274,0,0,0,0,0,0,0,0,01/01/2023,424197,206918263,0,0,0,0,0,0,0,0,0,0,0,519486,0,0,0,0,0,0,0,0,0,0
234,6/30/2024 0:00:00,125,0,0,122312,0,1,0,51760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11493000,10493000,5749000,0,0,27735000,0,0,0,20047,0,0,0,20047,0,0,0,0,0,65423328,0,0,0,0,0,0,0,0,03/01/2023,0,82365199,0,0,0,0,0,0,0,0,0,0,0,103195,0,0,0,0,0,0,0,0,0,0
