"CU_NUMBER","Cycle_date","join_number","USER_ID","ACCT_RB0026","ACCT_RB0027","ACCT_RB0028","ACCT_RB0029","ACCT_RB0030","ACCT_RB0031","ACCT_RB0032","ACCT_RB0033","ACCT_RB0034","ACCT_RB0035","ACCT_RB0036","ACCT_RB0037","ACCT_RB0038","ACCT_RB0039","ACCT_RB0040","ACCT_RB0041","ACCT_RB0042","ACCT_RB0043","ACCT_RB0044","ACCT_RB0045","ACCT_RB0046","ACCT_RB0047","ACCT_RB0048","ACCT_RB0049","ACCT_RB0050","ACCT_RB0051","ACCT_RB0052","ACCT_RB0053","ACCT_RB0054","ACCT_RB0055","ACCT_RB0056","ACCT_RB0057","ACCT_RB0058","ACCT_RB0059","ACCT_RB0060","ACCT_RB0061","ACCT_RB0062","ACCT_RB0063","ACCT_RB0064","ACCT_RB0065","ACCT_RB0066","ACCT_RB0067","ACCT_RB0068","ACCT_RB0069","ACCT_RB0070","ACCT_RB0071","ACCT_RB0072","ACCT_RB0073","ACCT_RB0074","ACCT_RB0075","ACCT_RB0076","ACCT_RB0077","ACCT_RB0078","ACCT_RB0079","ACCT_RB0080","ACCT_RB0081","ACCT_RB0082","ACCT_RB0083","ACCT_RB0084","ACCT_RB0085","ACCT_RB0086","ACCT_RB0087","ACCT_RB0088","ACCT_RB0089","ACCT_RB0090","ACCT_RB0091","ACCT_RB0092","ACCT_RB0093","ACCT_RB0094","ACCT_RB0095","ACCT_RB0096","ACCT_RB0097","ACCT_RB0098","ACCT_RB0099","ACCT_RB0100","ACCT_RB0101","ACCT_RB0102","ACCT_RB0103","ACCT_RB0104","ACCT_RB0105","ACCT_RB0106","ACCT_RB0107","ACCT_RB0108","ACCT_RB0109","ACCT_RB0110","ACCT_RB0111","ACCT_RB0112","ACCT_RB0113","ACCT_RB0114","ACCT_RB0115","ACCT_RB0116","ACCT_RB0117","ACCT_RB0118","ACCT_RB0119","ACCT_RB0120","ACCT_RB0121","ACCT_RB0122","ACCT_RB0123","ACCT_RB0124","ACCT_RB0125","ACCT_RB0126","ACCT_RB0127","ACCT_RB0128","ACCT_RB0129","ACCT_RB0130","ACCT_RB0131","ACCT_RB0132","ACCT_RB0133","ACCT_RB0134","ACCT_RB0135","ACCT_RB0136","ACCT_RB0137","ACCT_RB0138","ACCT_RB0139","ACCT_RB0140","ACCT_RB0141","ACCT_RB0142","ACCT_RB0143","ACCT_RB0144","ACCT_RB0145","ACCT_RB0146","ACCT_RB0147","ACCT_RB0148","ACCT_RB0149","ACCT_RB0150","ACCT_RB0151","ACCT_RB0152","ACCT_RB0153","ACCT_RB0154","ACCT_RB0155","ACCT_RB0156","ACCT_RB0157","ACCT_RB0158","ACCT_RB0159","ACCT_RB0160","ACCT_RB0161","ACCT_RB0162","ACCT_RB0163","ACCT_RB0164","ACCT_RB0165","ACCT_RB0166","ACCT_RB0167","ACCT_RB0168","ACCT_RB0169","ACCT_RB0170","ACCT_RB0171","ACCT_RB0172","ACCT_RB0177","ACCT_RL0001","ACCT_RL0002","ACCT_RL0003","ACCT_RL0004","ACCT_RL0005","ACCT_RL0006","ACCT_RL0007","ACCT_RL0008","ACCT_RL0009","ACCT_RL0010","ACCT_RL0011","ACCT_RL0012","ACCT_RL0013","ACCT_RL0014","ACCT_RL0015","ACCT_RL0016","ACCT_RL0017","ACCT_RL0018","ACCT_RL0019","ACCT_RL0020","ACCT_RL0021","ACCT_RL0022","ACCT_RL0023","ACCT_RL0024","ACCT_RL0025","ACCT_RL0026","ACCT_RL0027","ACCT_RL0028","ACCT_RL0029","ACCT_RL0030","ACCT_RL0031","ACCT_RL0032","ACCT_RL0033","ACCT_RL0034","ACCT_RL0035","ACCT_RL0036","ACCT_RL0037","ACCT_RL0038","ACCT_RL0039","ACCT_RL0040","ACCT_RL0041","ACCT_RL0042","ACCT_RL0043","ACCT_RL0044","ACCT_RL0045","ACCT_RL0046","ACCT_RL0047","ACCT_RL0048","ACCT_RL0050","ACCT_SH0013","ACCT_SH0018","ACCT_SH0880","ACCT_SL0018","ACCT_SL0019","ACCT_SL0020","ACCT_SL0021","ACCT_SL0022","ACCT_SL0023","ACCT_SL0024","ACCT_SL0026","ACCT_SL0028","ACCT_SL0029","ACCT_SL0030","ACCT_SL0032","ACCT_SL0033","ACCT_SL0034","ACCT_SL0035","ACCT_LR0001","ACCT_LR0002","ACCT_LR0003","ACCT_LR0004","ACCT_LR0005","ACCT_LR0006","ACCT_LR0007","ACCT_LR0008","ACCT_LQ0060","ACCT_LQ0061","ACCT_LQ0062","ACCT_NW0004"
1,6/30/2024 0:00:00,2,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,2361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8821970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27474,27474,8794496,0,-27474,-27474,0,0,0,0,0,144355,0,97518,97518,0,0,0,0,0,0,0,11109125,70044,70044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11109125,0,0,27474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9758484,9758484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5025
6,6/30/2024 0:00:00,7,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,33328499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159037534,0,0,0,0,0,0,0,2010802,0,0,0,0,0,0,0,0,3219125,3219125,190890409,0,-3219125,-3219125,0,0,0,0,0,17314913,0,2309148,2309148,0,0,0,0,0,0,0,274014841,-909977,-909977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274014841,0,0,3219125,96,15790565,481000,90,6004828,416975,7,864949,0,15,888600,54400,0,0,0,23548942,952375,93,4440906,410000,0,0,0,0,0,0,100,5071349,579900,9512255,989900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,33061197,1942275,7150057,206524238,239261238,32737000,275,4739423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,6/30/2024 0:00:00,11,WISE,0,0,0,0,0,0,0,0,0,0,0,0,0,6431724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19629318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842744,842744,26852331,0,-842744,-842744,0,0,0,0,0,9416042,0,516955,516955,0,0,0,0,0,0,0,60169418,-325789,-325789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60169418,0,0,842744,7,704729,0,64,3341934,110000,0,0,0,0,0,0,0,0,0,4046663,110000,87,3987855,1070700,0,0,0,0,0,0,4,31241,0,4019096,1070700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,8065759,1180700,0,55132587,55132587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,6/30/2024 0:00:00,12,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,5134371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639829055,0,0,0,0,0,0,0,1106734,0,0,0,0,0,0,0,0,3285293,3285293,974603708,0,-3285293,-3285293,0,0,0,0,0,35381715,0,8037974,8037974,0,0,0,0,0,0,0,1074739920,4752681,4752681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1074739920,0,0,3285293,296,67243949,28684224,804,84660444,15756331,0,0,0,295,94871620,5821454,399,21105183,5863856,267881196,56125865,0,0,0,0,0,0,0,0,0,1420,69072016,15659163,69072016,15659163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3214,336953212,71785028,199594092,849427071,926710410,77283339,3,1106734,0,0,0,0,0,0,0,0,233,0,0,0,0,1,109750158,1021,0,0,0,0,0,225000000,0,0,1526418
16,6/30/2024 0:00:00,14,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,40341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2818183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28874,28874,3787205,0,-28874,-28874,0,0,0,0,0,127458,0,80311,80311,0,0,0,0,0,0,0,9617599,51437,51437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9617599,0,0,28874,0,0,0,1,70519,0,8,666912,0,0,0,0,0,0,0,737431,0,4,203349,0,5,57114,0,0,0,0,0,0,0,260463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,997894,0,0,8334579,8334579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,6/30/2024 0:00:00,16,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,7317857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1447563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35272,35272,1412291,0,-35272,-35272,0,0,0,0,0,103039,0,68688,68688,0,0,0,0,0,0,0,9804128,33416,33416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9804128,0,0,35272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6817065,6817065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6/30/2024 0:00:00,17,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,30311129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105955833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1630217,1630217,243632272,0,-1630217,-1630217,0,0,0,0,0,8576265,0,2495024,2495024,0,0,0,0,0,0,0,336912698,864807,864807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336912698,0,0,1630217,26,6047717,0,35,5236528,0,0,0,0,0,0,0,5,725352,0,12009597,0,1059,78382857,4168516,0,0,0,0,0,0,1444,48914202,12405000,127297059,16573516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2569,139306656,16573516,67305952,284179640,284179640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5298247,0,564939
26,6/30/2024 0:00:00,19,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,111464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4987697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70890,70890,6182610,0,-70890,-70890,0,0,0,0,0,392278,0,184401,184401,0,0,0,0,0,0,0,21224909,113511,113511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21224909,0,0,70890,0,0,0,21,1265803,0,0,0,0,0,0,0,0,0,0,1265803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1265803,0,0,18514831,18514831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35625
28,6/30/2024 0:00:00,21,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,76978152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563903883,0,0,0,0,0,0,0,90516827,0,0,0,0,0,0,-1099400,0,13580413,13580413,1137748175,-1099400,-13580413,-13580413,0,0,0,0,0,115745772,0,10152412,10152412,0,0,0,0,0,0,0,1345517110,-3428001,-3428001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1345517110,0,0,13580413,1021,182817561,22580630,829,65301192,164678,10,829237,0,0,0,0,329,89496522,150000,338444512,22895308,1252,54595744,10847521,0,0,0,0,0,0,2392,102768222,36357896,157363966,47205417,7,269424,101858,9,185550,0,0,0,0,0,0,0,454974,101858,5849,496263452,70202583,151301175,1115597983,1157847983,42250000,8,11461132,0,0,65,14639338,65,0,65,14639338,2808,0,0,681,6786603,1,91063797,676,0,0,0,0,0,0,0,0,3783420
42,6/30/2024 0:00:00,29,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,8766000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32742614,0,0,0,0,0,0,0,232170,0,0,0,0,0,0,0,0,518227,518227,81350724,0,-518227,-518227,0,0,0,0,0,4483184,0,1197284,1197284,0,0,0,0,0,0,0,146255732,679057,679057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146255732,0,0,518227,67,10926723,165000,120,10432202,0,0,0,0,0,0,0,1,114351,0,21473276,165000,259,13563019,2391794,49,1627027,0,0,0,0,429,12230845,2504500,27420891,4896294,6,215504,0,0,0,0,0,0,0,0,0,0,215504,0,931,49109671,5061294,14561075,128937840,128937840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100174
