"CU_NUMBER","Cycle_date","join_number","USER_ID","ACCT_LQ0018","ACCT_LQ0019","ACCT_LQ0020","ACCT_LQ0021","ACCT_LQ0022","ACCT_LQ0023","ACCT_LQ0024","ACCT_LQ0025","ACCT_LQ0026","ACCT_LQ0027","ACCT_LQ0028","ACCT_LQ0029","ACCT_LQ0030","ACCT_LQ0034","ACCT_LQ0035","ACCT_LQ0038","ACCT_LQ0039","ACCT_LQ0040","ACCT_LQ0042","ACCT_LQ0043","ACCT_LQ0044","ACCT_LQ0045","ACCT_LQ0046","ACCT_LQ0047","ACCT_LQ0052","ACCT_LQ0053","ACCT_LQ0056","ACCT_LQ0059","ACCT_LQ0860","ACCT_NV0001","ACCT_NV0002","ACCT_NV0003","ACCT_NV0004","ACCT_NV0013","ACCT_NV0014","ACCT_NV0015","ACCT_NV0016","ACCT_NV0017","ACCT_NV0018","ACCT_NV0019","ACCT_NV0020","ACCT_NV0021","ACCT_NV0022","ACCT_NV0023","ACCT_NV0024","ACCT_NV0025","ACCT_NV0026","ACCT_NV0027","ACCT_NV0028","ACCT_NV0029","ACCT_NV0030","ACCT_NV0031","ACCT_NV0032","ACCT_NV0033","ACCT_NV0034","ACCT_NV0035","ACCT_NV0036","ACCT_NV0037","ACCT_NV0038","ACCT_NV0039","ACCT_NV0040","ACCT_NV0041","ACCT_NV0042","ACCT_NV0043","ACCT_NV0044","ACCT_NV0045","ACCT_NV0046","ACCT_NV0047","ACCT_NV0048","ACCT_NV0049","ACCT_NV0050","ACCT_NV0051","ACCT_NV0052","ACCT_NV0053","ACCT_NV0054","ACCT_NV0055","ACCT_NV0056","ACCT_NV0057","ACCT_NV0058","ACCT_NV0059","ACCT_NV0060","ACCT_NV0061","ACCT_NV0062","ACCT_NV0063","ACCT_NV0064","ACCT_NV0065","ACCT_NV0066","ACCT_NV0067","ACCT_NV0068","ACCT_NV0069","ACCT_NV0070","ACCT_NV0071","ACCT_NV0072","ACCT_NV0073","ACCT_NV0074","ACCT_NV0075","ACCT_NV0076","ACCT_NV0077","ACCT_NV0078","ACCT_NV0079","ACCT_NV0080","ACCT_NV0081","ACCT_NV0083","ACCT_NV0084","ACCT_NV0087","ACCT_NV0088","ACCT_NV0089","ACCT_NV0090","ACCT_NV0091","ACCT_NV0092","ACCT_NV0093","ACCT_NV0094","ACCT_NV0095","ACCT_NV0096","ACCT_NV0097","ACCT_NV0098","ACCT_NV0099","ACCT_NV0100","ACCT_NV0101","ACCT_NV0102","ACCT_NV0103","ACCT_NV0104","ACCT_NV0105","ACCT_NV0106","ACCT_NV0107","ACCT_NV0108","ACCT_NV0109","ACCT_NV0110","ACCT_NV0111","ACCT_NV0112","ACCT_NV0113","ACCT_NV0114","ACCT_NV0115","ACCT_NV0116","ACCT_NV0122","ACCT_NV0128","ACCT_NV0134","ACCT_NV0140","ACCT_NV0141","ACCT_NV0142","ACCT_NV0143","ACCT_NV0144","ACCT_NV0145","ACCT_NV0146","ACCT_NV0153","ACCT_NV0154","ACCT_NV0155","ACCT_NV0156","ACCT_NV0157","ACCT_NV0158","ACCT_NV0159","ACCT_NV0160","ACCT_NV0161","ACCT_NV0162","ACCT_NV0169","ACCT_NV0170","ACCT_NV0172","ACCT_NV0173","ACCT_SL0036","ACCT_SL0037","ACCT_SL0038","ACCT_SL0039","ACCT_SL0041","ACCT_SL0043","ACCT_SL0045","ACCT_SL0047","ACCT_SL0049","ACCT_SL0051","ACCT_SL0053","ACCT_SL0055","ACCT_SL0056","ACCT_SL0057","ACCT_SL0058","ACCT_SL0059","ACCT_RB0001","ACCT_RB0002","ACCT_RB0003","ACCT_RB0004","ACCT_RB0005","ACCT_RB0006","ACCT_RB0007","ACCT_RB0008","ACCT_RB0009","ACCT_RB0010","ACCT_RB0011","ACCT_RB0012","ACCT_RB0013","ACCT_RB0014","ACCT_RB0015","ACCT_RB0016","ACCT_RB0017","ACCT_RB0018","ACCT_RB0019","ACCT_RB0020","ACCT_RB0021","ACCT_RB0022","ACCT_RB0023","ACCT_RB0024","ACCT_RB0025"
1,6/30/2024 0:00:00,2,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,0,0,0,0,1200000,0,0,0,0,0,2361,0,0,0,2361,1200000,2361,0,0,0,1202361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341316,27474,0,0,27474,0,0,0,97518,1271272,0,1271272,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6/30/2024 0:00:00,7,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,0,0,0,0,0,0,15956438,14794901,0,0,0,0,0,0,15956438,14794901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19381609,18181666,0,0,0,0,0,35338047,32976567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356537,98027,0,0,0,454564,0,0,32976567,0,0,0,0,0,351932,351932,6556946,19726020,5101160,2047005,351932,33783063,0,0,0,0,0,0,0,0,1608225,0,0,0,335244,0,0,0,0,0,0,0,6229726,2084006,0,0,22921366,3282962,0,0,3282962,0,0,0,2309148,23895180,0,23895180,0,0,0,0,0,0,0,0,0,0,0,0,0
12,6/30/2024 0:00:00,11,WISE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5150701,4962360,0,0,497823,471250,0,0,0,0,0,0,497823,471250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248000,248000,0,0,0,0,0,0,5896524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325000,325000,325000,12018265,3721000,0,0,0,15739265,325000,0,0,5896525,210200,0,0,0,0,210200,14216478,7155694,798818,0,0,22170990,0,0,0,0,0,800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6064098,842744,0,0,842744,0,0,0,516955,6389887,0,6389887,0,0,0,0,0,0,0,0,0,0,0,0,0
13,6/30/2024 0:00:00,12,Subm,0,0,0,47392380,0,0,0,0,0,0,0,0,0,0,294098649,0,0,166377840,0,166377840,0,301686119,0,0,0,0,0,0,51000000,0,0,0,0,0,0,0,0,0,0,322123,302011,0,0,322123,302011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322123,302011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,100000,0,0,302011,0,0,4832360,0,0,0,4832360,100000,5134371,0,0,0,5234371,0,0,0,0,0,0,0,0,0,0,821290,0,0,0,0,0,0,0,0,0,0,0,0,0,88832090,3285293,0,0,3285293,0,0,0,8037974,84079409,0,84079409,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6/30/2024 0:00:00,14,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800000,2650000,1044000,0,0,4494000,0,0,0,0,40341,0,0,0,0,40341,840341,2650000,1044000,0,0,4534341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275912,28874,0,0,28874,0,0,0,80311,1224475,0,1224475,0,0,0,0,0,0,0,0,0,0,0,0,0
19,6/30/2024 0:00:00,16,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7315000,7315000,0,0,7315000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7315000,2857,0,0,0,0,2857,5412857,1905000,0,0,0,7317857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2984655,35272,0,0,35272,0,0,0,68688,2951239,0,2951239,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6/30/2024 0:00:00,17,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7838430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13883660,12005893,0,0,13883660,12005893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13883660,12005893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766414,2379522,3145936,3145936,21356000,0,0,0,0,21356000,3145936,0,12005893,0,15000000,159300,0,0,0,15159300,41954161,1435428,7937932,339608,0,51667129,26,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50740424,1630217,0,0,1630217,0,0,0,2495024,49875617,0,49875617,0,0,0,0,0,0,0,0,0,0,0,0,0
26,6/30/2024 0:00:00,19,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4020000,3176000,5707000,0,0,12903000,0,0,0,0,111464,0,0,0,0,111464,4131464,3176000,5707000,0,0,13014464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2106934,70890,0,0,70890,0,0,0,184401,1993423,0,1993423,0,0,0,0,0,0,0,0,0,0,0,0,0
28,6/30/2024 0:00:00,21,Subm,0,0,0,1001756,0,0,0,0,0,0,0,0,0,0,447155405,0,0,339754193,0,501423688,0,0,0,0,0,0,0,0,54483823,0,0,0,0,0,0,0,0,0,0,74026635,58858493,0,0,74026635,58858493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74026635,58858493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58858493,0,0,18119659,0,0,0,18119659,0,20029047,12484431,40582028,3882646,76978152,0,0,0,0,0,10807820,0,0,0,0,759277,0,0,0,0,0,0,0,2498091,0,0,0,0,0,117126846,13580413,0,0,13580413,0,0,0,10152412,120554847,0,120554847,0,0,0,0,0,0,0,0,0,0,0,0,0
42,6/30/2024 0:00:00,29,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8700000,8700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23241000,17384000,249000,0,0,40874000,0,0,0,8700000,0,0,0,0,66000,66000,26541000,22484000,549000,0,66000,49640000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15560887,518227,0,0,518227,0,0,0,1197284,14881830,0,14881830,0,0,0,0,0,0,0,0,0,0,0,0,0
