"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","UPDATE_DATE","ACCT_007","ACCT_008","ACCT_009","ACCT_010","ACCT_011C","ACCT_013","ACCT_018","ACCT_019","ACCT_021B","ACCT_022B","ACCT_023B","ACCT_025A","ACCT_025B","ACCT_031A","ACCT_031B","ACCT_041B","ACCT_042","ACCT_058C","ACCT_065","ACCT_067","ACCT_068","ACCT_069","ACCT_080","ACCT_083","ACCT_084","ACCT_100","ACCT_300","ACCT_340","ACCT_380","ACCT_386","ACCT_387","ACCT_388","ACCT_392","ACCT_400","ACCT_457","ACCT_521","ACCT_522","ACCT_523","ACCT_524","ACCT_550","ACCT_551","ACCT_552","ACCT_562","ACCT_563","ACCT_602","ACCT_630","ACCT_652A","ACCT_652B1","ACCT_652B2","ACCT_655A","ACCT_655B1","ACCT_655B2","ACCT_656C","ACCT_657","ACCT_658","ACCT_662","ACCT_668","ACCT_671","ACCT_672A","ACCT_672B1","ACCT_672B2","ACCT_703","ACCT_704","ACCT_705","ACCT_706","ACCT_707","ACCT_708","ACCT_710","ACCT_712","ACCT_713","ACCT_714","ACCT_715","ACCT_716","ACCT_718","ACCT_719","ACCT_720","ACCT_721","ACCT_722","ACCT_723","ACCT_724","ACCT_730","ACCT_741A","ACCT_741B1","ACCT_741B2","ACCT_742A","ACCT_742B1","ACCT_742B2","ACCT_746A","ACCT_746B1","ACCT_746B2","ACCT_749","ACCT_750A","ACCT_750B1","ACCT_750B2","ACCT_751","ACCT_755","ACCT_760C","ACCT_761C","ACCT_771","ACCT_775","ACCT_794","ACCT_798","ACCT_799A","ACCT_799B1","ACCT_799B2","ACCT_825","ACCT_860C","ACCT_880","ACCT_902","ACCT_906A","ACCT_908A","ACCT_908C","ACCT_911","ACCT_931","ACCT_940","ACCT_959","ACCT_960","ACCT_968","ACCT_973","ACCT_975","ACCT_976","ACCT_991","Acct_965A","Acct_965B","Acct_965C","Acct_965D","ACCT_020A","ACCT_020B","ACCT_024A","ACCT_024B","ACCT_042A","ACCT_090A","ACCT_090B","ACCT_090C","ACCT_090D","ACCT_099A","ACCT_143A","ACCT_143B","ACCT_143C","ACCT_143D","ACCT_400A","ACCT_400B","ACCT_400C","ACCT_400D","ACCT_400F","ACCT_459A","ACCT_463A","ACCT_475A","ACCT_475B","ACCT_475C","ACCT_475D","ACCT_691B","ACCT_691C","ACCT_692","ACCT_692A","ACCT_704A","ACCT_704B","ACCT_704C","ACCT_704D","ACCT_704E","ACCT_705A","ACCT_705B","ACCT_708B","ACCT_720A","ACCT_720B","ACCT_720C","ACCT_720D","ACCT_720E","ACCT_721A","ACCT_721B","ACCT_724B","ACCT_733A","ACCT_745C1","ACCT_745C2","ACCT_796C1","ACCT_796C2","ACCT_797C1","ACCT_797C2","ACCT_799C1","ACCT_799C2","ACCT_965C1","ACCT_965C2","ACCT_088","ACCT_799A1","ACCT_672B","ACCT_672C1","ACCT_672C2","ACCT_672D","ACCT_744B","ACCT_744C1","ACCT_744C2","ACCT_744D","ACCT_652B","ACCT_652C1","ACCT_652C2","ACCT_652D","ACCT_766A","ACCT_766B","ACCT_766C1","ACCT_766C2","ACCT_766D","ACCT_766E","ACCT_798A1","ACCT_798A2","ACCT_798A3","ACCT_009A","ACCT_009B","ACCT_009C","ACCT_769A1","ACCT_769B1","ACCT_616","ACCT_616A","ACCT_704A1","ACCT_704C1","ACCT_980","ACCT_742C1","ACCT_742C2","ACCT_020J","ACCT_020K","ACCT_020L","ACCT_021J","ACCT_021K","ACCT_021L","ACCT_022J","ACCT_022K","ACCT_022L","ACCT_023J","ACCT_023K","ACCT_023L","ACCT_041J","ACCT_041K","ACCT_041L","Acct_1019","Acct_1019A","Acct_1019B","Acct_1019C","Acct_1019D","Acct_1019E","Acct_789A","Acct_789A1","Acct_789B","Acct_789B1"
1,6/30/2024 0:00:00,2,7/30/2024 11:50:51 PM,41973,6177,0,11109125,0,9758484,9758484,0,0,390,0,769,8821970,199,1527573,8225,0,0,0,0,0,0,0,1259,2000,0,0,0,68063,0,0,0,0,0,0,0,925,674,674,13734,1017,0,0,0,48799,93430,0,0,0,0,0,0,0,6535109,203071,0,0,196035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97518,0,0,0,0,9325,0,0,529452,0,705016,2600493,0,0,1089446,0,0,245,0,0,0,0,0,0,0,0,0,65136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6/30/2024 0:00:00,7,7/30/2024 12:28:17 AM,2905322,1434630,0,274014841,0,206524238,239261238,0,898999,1222396,90375,20225,194109534,2253,30027409,3207094,0,0,0,0,0,0,0,28845,70000,0,0,2200,1658310,0,0,0,0,0,32737,1072,1202,517,685,964204,287676,0,0,0,0,270034,0,0,0,0,0,0,0,116409508,0,0,0,7299810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2309148,0,0,0,0,6918342,7000000,32737000,42725165,5503732,28540338,37607045,2922008,0,22630950,0,0,3149,0,0,0,0,0,0,0,0,0,2338177,0,548128,0,0,0,0,0,0,0,0,0,0,1400317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770858,303568,9506487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,6/30/2024 0:00:00,11,7/30/2024 10:40:03 AM,4962391,516420,0,60169418,0,55132588,55132588,0,123439,4778,0,7974,27695075,1602,6964412,205748,0,0,0,0,0,0,0,9073,19073,0,0,15588,176277,0,0,0,0,0,0,1243,1050,800,875,297617,63961,0,0,0,91919,280930,0,0,0,0,0,0,0,25051362,0,0,0,2365075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516955,0,0,0,0,272119,0,0,16008084,882561,2347306,3254561,9318251,0,5972179,0,0,346,0,0,0,0,0,0,0,0,0,230950,0,24644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75489,67579,3277208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,6/30/2024 0:00:00,12,7/24/2024 10:18:07 PM,15951621,615456,0,1074739920,0,849427072,926710410,0,843264,579338,280277,36758,977889001,10475,221770335,3527789,0,0,0,0,0,0,0,66652,849530,0,0,1086553,14185864,0,0,0,0,0,21,950,950,364,364,1542660,340640,0,0,0,0,237770,0,0,0,0,0,0,0,171198693,0,0,0,12021058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8037974,0,0,0,0,9291366,51000000,77283338,115907248,30556469,223702748,454756109,21695623,0,88832090,0,0,12510,0,0,0,0,0,0,0,0,0,13515875,0,69159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3670844,36640,6292145,0,0,0,0,0,30244172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6/30/2024 0:00:00,14,7/9/2024 10:12:13 PM,0,1602,0,9617599,0,8334581,8334581,0,0,529,15437,276,3816079,29,516272,15966,0,0,0,0,0,0,0,886,1320,0,0,45,23459,0,0,0,0,0,0,1490,950,649,724,21311,1080,0,0,0,0,0,0,0,0,0,0,0,0,5117127,479074,0,0,182804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80311,0,0,0,0,-13200,0,0,1862280,186093,1169079,1169079,0,0,796838,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7149,16197,22199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,6/30/2024 0:00:00,16,7/25/2024 10:22:14 PM,0,0,0,9804128,0,6817065,6817065,0,0,570,0,218,1447563,74,371700,570,0,0,0,0,0,0,0,1095,2500,0,0,0,51270,0,0,0,0,0,0,0,990,565,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6817065,91769,0,0,69536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68688,0,0,0,0,2408,0,0,0,0,0,0,0,0,2892886,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2544,20071,11736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6/30/2024 0:00:00,17,7/31/2024 12:32:17 AM,3289259,102912,0,336912698,0,284179640,284179640,0,37481,453794,0,17603,245262489,941,31186827,530529,0,0,0,0,0,0,0,21795,25000,0,0,0,2691518,0,0,0,0,0,0,850,824,665,665,210572,14521,0,0,0,0,0,0,0,0,0,0,0,0,81725123,0,0,0,4095498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2495024,0,0,0,0,3412589,0,0,34531515,12708266,104274827,110273101,41605829,0,50740424,0,0,3445,0,0,0,0,0,0,0,0,0,144010,0,10262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855231,188286,1645553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,6/30/2024 0:00:00,19,7/11/2024 10:12:21 PM,129682,17327,0,21224909,0,18514831,18514831,0,0,0,0,437,6253500,43,783191,29519,0,0,0,0,0,0,0,1953,14437,0,12575,0,33082,0,0,0,0,0,0,1000,1019,459,559,11868,267,0,0,0,8991,9878,0,0,0,0,0,0,0,12082195,603146,0,0,308847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184401,0,0,0,0,603144,0,0,3530870,0,1038962,2891888,0,0,1494797,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13827,0,47041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,6/30/2024 0:00:00,21,7/26/2024 10:30:52 PM,52849366,5500912,0,1345517110,0,1115597983,1157847983,0,5074884,1070099,303616,54379,1150229188,7524,222962116,13897472,0,0,0,0,0,0,0,135584,1054904,0,0,9538795,13124849,0,0,0,0,0,42500,990,1199,999,1049,6806351,1436081,0,0,0,0,0,0,0,0,0,0,0,0,235729668,0,0,0,24594652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10152412,0,0,0,0,31261945,54483823,42250000,236409683,33072746,304233774,397644961,193856018,0,117126846,0,0,22645,0,0,0,0,0,0,0,0,0,18678229,0,0,0,0,0,0,0,0,0,0,0,0,81306737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5361433,164946,35570871,0,0,0,0,0,11907135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,6/30/2024 0:00:00,29,7/30/2024 10:25:48 PM,1931430,410924,0,146255732,0,128937840,128937840,0,247332,323245,85328,6583,81868951,460,11819555,1028804,0,0,0,0,0,0,0,14423,244000,0,0,0,585849,0,0,0,0,0,0,895,1146,457,586,145599,35946,0,0,0,0,171416,0,0,0,0,0,0,0,70895875,782449,0,0,2356670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1197284,0,0,0,0,1739846,0,0,22940230,4910383,17687966,19375391,9671618,0,13504829,0,0,733,0,0,0,0,0,0,0,0,0,481699,0,23484,0,0,0,0,0,0,0,0,0,0,232171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236920,193218,513408,0,0,0,0,0,12230848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
