"CU_NUMBER","Cycle_date","join_number","USER_ID","ACCT_LQ0018","ACCT_LQ0019","ACCT_LQ0020","ACCT_LQ0021","ACCT_LQ0022","ACCT_LQ0023","ACCT_LQ0024","ACCT_LQ0025","ACCT_LQ0026","ACCT_LQ0027","ACCT_LQ0028","ACCT_LQ0029","ACCT_LQ0030","ACCT_LQ0034","ACCT_LQ0035","ACCT_LQ0038","ACCT_LQ0039","ACCT_LQ0040","ACCT_LQ0042","ACCT_LQ0043","ACCT_LQ0044","ACCT_LQ0045","ACCT_LQ0046","ACCT_LQ0047","ACCT_LQ0052","ACCT_LQ0053","ACCT_LQ0056","ACCT_LQ0059","ACCT_LQ0860","ACCT_NV0001","ACCT_NV0002","ACCT_NV0003","ACCT_NV0004","ACCT_NV0013","ACCT_NV0014","ACCT_NV0015","ACCT_NV0016","ACCT_NV0017","ACCT_NV0018","ACCT_NV0019","ACCT_NV0020","ACCT_NV0021","ACCT_NV0022","ACCT_NV0023","ACCT_NV0024","ACCT_NV0025","ACCT_NV0026","ACCT_NV0027","ACCT_NV0028","ACCT_NV0029","ACCT_NV0030","ACCT_NV0031","ACCT_NV0032","ACCT_NV0033","ACCT_NV0034","ACCT_NV0035","ACCT_NV0036","ACCT_NV0037","ACCT_NV0038","ACCT_NV0039","ACCT_NV0040","ACCT_NV0041","ACCT_NV0042","ACCT_NV0043","ACCT_NV0044","ACCT_NV0045","ACCT_NV0046","ACCT_NV0047","ACCT_NV0048","ACCT_NV0049","ACCT_NV0050","ACCT_NV0051","ACCT_NV0052","ACCT_NV0053","ACCT_NV0054","ACCT_NV0055","ACCT_NV0056","ACCT_NV0057","ACCT_NV0058","ACCT_NV0059","ACCT_NV0060","ACCT_NV0061","ACCT_NV0062","ACCT_NV0063","ACCT_NV0064","ACCT_NV0065","ACCT_NV0066","ACCT_NV0067","ACCT_NV0068","ACCT_NV0069","ACCT_NV0070","ACCT_NV0071","ACCT_NV0072","ACCT_NV0073","ACCT_NV0074","ACCT_NV0075","ACCT_NV0076","ACCT_NV0077","ACCT_NV0078","ACCT_NV0079","ACCT_NV0080","ACCT_NV0081","ACCT_NV0083","ACCT_NV0084","ACCT_NV0087","ACCT_NV0088","ACCT_NV0089","ACCT_NV0090","ACCT_NV0091","ACCT_NV0092","ACCT_NV0093","ACCT_NV0094","ACCT_NV0095","ACCT_NV0096","ACCT_NV0097","ACCT_NV0098","ACCT_NV0099","ACCT_NV0100","ACCT_NV0101","ACCT_NV0102","ACCT_NV0103","ACCT_NV0104","ACCT_NV0105","ACCT_NV0106","ACCT_NV0107","ACCT_NV0108","ACCT_NV0109","ACCT_NV0110","ACCT_NV0111","ACCT_NV0112","ACCT_NV0113","ACCT_NV0114","ACCT_NV0115","ACCT_NV0116","ACCT_NV0122","ACCT_NV0128","ACCT_NV0134","ACCT_NV0140","ACCT_NV0141","ACCT_NV0142","ACCT_NV0143","ACCT_NV0144","ACCT_NV0145","ACCT_NV0146","ACCT_NV0153","ACCT_NV0154","ACCT_NV0155","ACCT_NV0156","ACCT_NV0157","ACCT_NV0158","ACCT_NV0159","ACCT_NV0160","ACCT_NV0161","ACCT_NV0162","ACCT_NV0169","ACCT_NV0170","ACCT_NV0172","ACCT_NV0173","ACCT_SL0036","ACCT_SL0037","ACCT_SL0038","ACCT_SL0039","ACCT_SL0041","ACCT_SL0043","ACCT_SL0045","ACCT_SL0047","ACCT_SL0049","ACCT_SL0051","ACCT_SL0053","ACCT_SL0055","ACCT_SL0056","ACCT_SL0057","ACCT_SL0058","ACCT_SL0059","ACCT_RB0001","ACCT_RB0002","ACCT_RB0003","ACCT_RB0004","ACCT_RB0005","ACCT_RB0006","ACCT_RB0007","ACCT_RB0008","ACCT_RB0009","ACCT_RB0010","ACCT_RB0011","ACCT_RB0012","ACCT_RB0013","ACCT_RB0014","ACCT_RB0015","ACCT_RB0016","ACCT_RB0017","ACCT_RB0018","ACCT_RB0019","ACCT_RB0020","ACCT_RB0021","ACCT_RB0022","ACCT_RB0023","ACCT_RB0024","ACCT_RB0025"
47,12/31/2024 0:00:00,30,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5759000,17181000,2685000,0,0,25625000,0,0,0,0,0,0,0,0,0,0,5759000,17181000,2685000,0,0,25625000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6709733,99239,0,0,99239,0,0,0,494037,6314935,0,6314935,0,0,0,0,0,0,0,0,0,0,0,0,0
48,12/31/2024 0:00:00,31,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7750000,7456334,0,0,0,0,0,0,7750000,7456334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1493000,1449778,0,0,0,0,0,0,9243000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3968000,10095000,2795000,0,0,16858000,0,0,0,9243000,0,0,0,0,155000,155000,9162000,14144000,2795000,0,155000,26256000,0,0,0,0,0,0,0,0,7678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13450597,255606,0,0,255606,0,0,0,499216,13206987,0,13206987,0,0,0,0,0,0,0,0,0,0,0,0,0
51,12/31/2024 0:00:00,32,Subm,0,0,0,18182854,0,0,0,0,0,0,0,0,0,0,11765153,0,0,1728396671,0,281810108,0,0,0,0,0,0,0,0,250512811,29964854,29935200,0,0,7817057,7695090,0,0,232922815,218632143,898283848,720263449,240739872,226327233,898283848,720263449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6400788,6196026,0,0,0,0,0,0,1160088,1129700,0,0,7560876,7325726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270704726,905844724,727589175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10788214,1113136,0,11901350,11901350,0,0,0,0,0,0,11901350,0,727589174,270704726,0,19104402,0,0,396162,19500564,143917803,94573952,231478559,528992331,30733169,1029695814,0,0,0,0,0,44012172,0,0,2365154,0,0,0,0,0,0,0,0,8350000,0,0,0,0,0,0,800863454,68017930,0,0,68017930,0,0,0,203336959,665544425,0,665544425,0,421527993,397137821,3856162,20534010,0,1010195251,364915459,633378442,0,0,11901350,0
53,12/31/2024 0:00:00,33,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500000,2465065,0,0,0,0,0,0,2500000,2465065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7956000,494000,0,0,0,8450000,0,0,0,2500000,0,0,0,0,80000,80000,9456000,494000,1000000,0,80000,11030000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5899450,359948,0,0,359948,0,0,0,532371,5727027,0,5727027,0,0,0,0,0,0,0,0,0,0,0,0,0
60,12/31/2024 0:00:00,35,WISE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25701065,0,27768729,0,0,0,20500000,0,0,0,0,0,0,0,12040785,11747665,0,0,8500000,8104745,0,0,45405718,40528408,0,0,53905718,48633153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65946503,60380818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9365000,7717000,249000,0,0,17331000,0,0,60380819,0,0,3889300,0,0,1089655,4978955,20170195,24191023,21686065,15553836,1089655,82690774,0,0,0,0,0,0,0,0,0,0,0,0,87943,769070,0,0,182867,0,0,0,0,0,0,0,53193267,3388962,0,0,3388962,0,0,0,3836815,52745414,0,52745414,0,0,0,0,0,0,0,0,0,0,0,0,0
77,12/31/2024 0:00:00,41,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12532488,0,12532488,0,0,0,0,0,0,0,0,0,0,0,2013023,1928930,0,0,1712672,1690585,0,0,28251551,25343921,0,0,29964223,27034506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522514,272921,0,0,0,0,0,0,0,0,0,0,522514,272921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3160557,2745200,0,0,0,0,0,0,0,0,0,35660317,31981557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31981557,0,1400763,0,0,0,0,1400763,3219124,8568438,16801092,4793666,0,33382320,0,0,0,0,0,0,0,0,2714927,0,0,0,0,0,0,0,0,0,420635,0,0,0,0,0,17555435,742923,0,0,742923,0,0,0,1825364,16472994,0,16472994,0,0,0,0,0,0,0,0,0,0,0,0,0
79,12/31/2024 0:00:00,43,WISE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263353179,0,0,0,0,0,0,0,0,0,0,0,0,0,14029986,13201250,0,0,43918798,40161558,0,0,49863369,43843745,0,0,93782167,84005303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17896168,15497703,0,0,980000,942802,0,0,0,0,0,126688321,113647058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113647057,0,0,341600,0,0,0,341600,15165288,38388707,29426480,27912968,3095214,113988657,0,0,0,0,607778,11904812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86394341,3678955,0,0,3678955,0,0,0,7004893,83068403,0,83068403,0,0,0,0,0,0,0,0,0,0,0,0,0
82,12/31/2024 0:00:00,46,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11076338,0,11076338,0,0,0,0,0,19923297,0,0,0,0,0,0,0,0,0,2500000,2493056,0,0,126827,127501,0,0,2626827,2620557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17130983,17190631,0,0,17130983,2626827,2620557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245000,0,0,0,0,245000,0,0,2620557,17130983,0,0,1943544,0,0,1943544,18043658,1952882,1943544,0,0,21940084,0,0,0,0,0,0,0,0,9335,0,293047,0,0,0,0,0,0,0,0,0,0,0,0,0,38209588,1607415,0,0,1607415,0,0,0,2333686,37483317,0,37483317,0,0,0,0,0,0,0,0,0,0,0,0,0
90,12/31/2024 0:00:00,49,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1348000,1496000,0,0,0,2844000,0,0,0,0,77511,0,0,0,60272,137783,1425511,1496000,0,0,60272,2981783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5033656,91203,0,0,91203,0,0,0,35661,5089198,0,5089198,0,0,0,0,0,0,0,0,0,0,0,0,0
98,12/31/2024 0:00:00,54,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5640000,5427878,0,0,5640000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5640000,0,0,0,0,15800,15800,3030000,2610000,0,0,15800,5655800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2062847,23647,0,0,23647,0,0,0,106048,1980446,0,1980446,0,0,0,0,0,0,0,0,0,0,0,0,0
107,12/31/2024 0:00:00,57,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5162699,5162699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5162699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9550000,14707000,12201000,244000,0,36702000,0,0,0,5162699,0,239307,0,0,0,239307,9550000,18131247,14178759,244000,0,42104006,0,0,0,0,0,0,0,0,523659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11907867,161342,0,0,161342,0,0,0,618813,11450396,0,11450396,0,0,0,0,0,0,0,0,0,0,0,0,0
