"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_001","ACCT_011A","ACCT_011B1","ACCT_011B2","ACCT_013A","ACCT_013B1","ACCT_013B2","ACCT_014","ACCT_017","ACCT_018A","ACCT_018B1","ACCT_018B2","ACCT_021A","ACCT_022A","ACCT_023A","ACCT_041A","ACCT_058A","ACCT_058B1","ACCT_058B2","ACCT_062","ACCT_063","ACCT_076","ACCT_077","ACCT_078","ACCT_079","ACCT_081","ACCT_082","ACCT_090","ACCT_099","ACCT_110","ACCT_119","ACCT_120","ACCT_124","ACCT_125A","ACCT_125B","ACCT_125C","ACCT_125D","ACCT_125E","ACCT_126A","ACCT_126B","ACCT_126C","ACCT_126D","ACCT_126E","ACCT_131","ACCT_132","ACCT_133","ACCT_134","ACCT_135","ACCT_140","ACCT_142","ACCT_143","ACCT_144","ACCT_210","ACCT_230","ACCT_250","ACCT_260","ACCT_270","ACCT_280","ACCT_290","ACCT_305","ACCT_310","ACCT_314","ACCT_315","ACCT_320","ACCT_360","ACCT_370","ACCT_381","ACCT_384","ACCT_385","ACCT_389","ACCT_391","ACCT_393","ACCT_395","ACCT_396","ACCT_397","ACCT_399","ACCT_420","ACCT_430","ACCT_440","ACCT_451","ACCT_452","ACCT_453","ACCT_454","ACCT_455","ACCT_458","ACCT_460","ACCT_463","ACCT_475","ACCT_481","ACCT_482","ACCT_532","ACCT_547","ACCT_548","ACCT_549","ACCT_553","ACCT_554","ACCT_555","ACCT_560","ACCT_561","ACCT_564A","ACCT_564B","ACCT_593","ACCT_594","ACCT_595","ACCT_596","ACCT_599","ACCT_002","ACCT_115","ACCT_116","ACCT_117","ACCT_350","ACCT_565","Acct_661A","Acct_769A","Acct_769B","Acct_820A","Acct_954","Acct_925A","Acct_925B1","Acct_925B2","Acct_010A","Acct_010B","Acct_010C","Acct_730A","Acct_730B","Acct_730C","Acct_799I","Acct_814A","Acct_889A","Acct_889B","Acct_892A","Acct_892B","Acct_945A","Acct_945B","Acct_996","Acct_997","Acct_998","Acct_999","ACCT_779A","ACCT_785A","ACCT_798A","ACCT_814B","ACCT_865A","ACCT_900A","ACCT_900B","ACCT_900C","ACCT_900D","ACCT_900F","ACCT_903","ACCT_904","ACCT_905","ACCT_906","ACCT_961A","ACCT_972A","ACCT_972B","ACCT_972C","ACCT_972D","ACCT_972E","ACCT_973A","ACCT_973B","ACCT_976B","ACCT_982A","ACCT_982B","ACCT_982C","ACCT_982D","ACCT_982E","ACCT_983A","ACCT_983B","ACCT_986B","ACCT_617A","ACCT_618A","ACCT_718A","ACCT_617B","ACCT_617C","ACCT_618B","ACCT_618C","ACCT_883A","ACCT_883B1","ACCT_883B2","ACCT_883C","ACCT_881","ACCT_882","ACCT_822","ACCT_567","ACCT_568","ACCT_020C","ACCT_021C","ACCT_022C","ACCT_023C","ACCT_041C","ACCT_020D","ACCT_021D","ACCT_022D","ACCT_023D","ACCT_041D","ACCT_713A","ACCT_714A","ACCT_715A","ACCT_716A","ACCT_020E","ACCT_021E","ACCT_022E","ACCT_023E","ACCT_041E","ACCT_020F","ACCT_021F","ACCT_022F","ACCT_023F","ACCT_041F","ACCT_065A","ACCT_065B","ACCT_065C","ACCT_065D","ACCT_065E","ACCT_067A","ACCT_067B","ACCT_067C","ACCT_550J","ACCT_550K","ACCT_550L","ACCT_551J","ACCT_551K","ACCT_551L","ACCT_029A","ACCT_029B","ACCT_029C","ACCT_029D","ACCT_029E","ACCT_030A","ACCT_030B","ACCT_030C","ACCT_030D","ACCT_030E","ACCT_032A","ACCT_032B","ACCT_032C","ACCT_032D","ACCT_032E","ACCT_704F1","ACCT_704F2","ACCT_704F3","ACCT_704F4","ACCT_811B","ACCT_PP0027","ACCT_PP0029","ACCT_PP0031"
1,12/31/2024 0:00:00,2,0,0,0,0,8001678,2454531,0,11835153,0,8001678,2454531,0,0,0,0,11,0,0,0,0,122023,0,0,0,0,0,0,0,0,525562,0,63913,0,0,0,0,0,0,0,0,0,0,0,32737,0,0,0,0,0,0,0,0,193344,1749,13504,176499,612,6785,12812,0,0,0,0,2242,6510,3996155,0,0,2239953,0,0,0,0,0,849775,0,0,0,0,127,334,0,1267,70,0,1798,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,589475,0,82856,153240,0,84397,0,2361,0,0,0,0,0,0,0,0,48533,1053336,0,0,0,0,0,0,0,0,0,0,1379388,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,18307,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12/31/2024 0:00:00,7,0,0,0,0,189217836,13785606,1594197,269952063,0,189217836,32541606,13592197,0,0,0,331,0,0,0,0,122023,0,0,0,0,0,0,0,0,14333722,0,1599839,0,0,0,0,0,0,0,0,0,0,0,1485392,0,0,0,0,0,0,0,0,7289395,322178,600596,4783370,326201,762109,445163,0,0,0,0,47645,92633,65682880,0,0,35692531,0,0,0,0,20165883,28180209,0,0,8452,883719,1207,14249,442,33909,217,97,80875,0,0,0,0,0,0,0,0,0,0,0,0,0,91,6,0,0,0,0,0,0,15933561,0,4585755,3427193,0,12590,0,356993,204910,0,7000000,0,0,0,0,0,4607466,15532083,0,0,0,0,0,0,0,0,0,0,30070535,1114,0,0,0,130700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,5427305,0,0,0,0,0,69093,0,0,69093,21560000,0,0,8988682,1675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12/31/2024 0:00:00,11,0,0,0,0,52782650,1215926,1309714,60540924,0,52782650,1215926,1309714,0,0,0,156,0,0,0,0,32024,0,0,0,0,0,0,0,0,2842816,0,626718,0,0,0,0,0,0,0,0,0,0,0,1397021,0,0,0,0,0,0,0,0,2062535,53383,459702,717651,74777,683582,693133,0,0,0,0,13371,17795,4222709,0,0,4455519,0,0,0,0,3458135,11335698,0,0,0,4092,205,6201,150,14070,534,348,21508,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5,0,0,0,0,0,0,3469534,0,2557563,393160,0,345029,0,180000,8267,0,0,0,0,0,0,0,632803,2647704,0,0,0,0,0,0,0,0,-1215680,0,6264516,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000000,0,0,12593334,1767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,12/31/2024 0:00:00,12,0,0,0,0,609758963,230223084,90717730,1166537765,0,621221397,297544084,94976730,0,0,0,189,0,0,0,0,122023,0,0,0,0,0,0,0,0,54477762,0,3867936,0,0,0,0,0,0,0,0,0,0,0,5862601,0,0,0,0,0,0,0,0,12413576,305502,905898,7959834,661611,2148194,668656,0,5570,0,0,179900,82213,300871019,0,0,300628838,0,0,0,0,10328428,23227760,0,0,-24844,0,9085,33866,2452,74398,152,651,120626,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,58345698,0,12227188,32543551,0,9704423,0,0,0,0,15000000,0,0,0,0,0,7272549,98634734,0,0,0,0,0,0,0,0,-834902,0,109572303,939,0,49269556,0,1132741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19965,562691145,0,0,0,0,0,6000000,27000000,7000000,40000000,520181242,0,0,540466,1746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2319345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,12/31/2024 0:00:00,14,0,0,0,0,8039125,0,0,9364728,0,8039125,0,0,0,0,0,3,0,0,0,0,22024,0,0,0,0,0,0,0,0,215132,0,166221,0,0,0,0,0,0,0,0,0,0,0,32242,0,0,0,0,0,0,0,0,209098,0,3600,52456,671,80161,17903,0,0,0,0,1872,1629,1295475,0,0,814842,0,0,0,0,143555,268632,0,0,0,0,51,330,6,1091,0,0,1478,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,381353,0,63386,52163,0,25186,0,40341,25309,0,0,0,0,0,0,0,124193,1018108,0,0,0,0,0,0,0,0,0,0,1294212,1382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,12/31/2024 0:00:00,16,0,0,0,0,6517877,0,0,9594785,0,6517877,0,0,0,0,0,1,0,0,0,0,62023,0,0,0,0,0,0,0,0,102980,0,301817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82619,0,16310,10462,305,4645,23798,0,0,0,0,1930,2313,871612,0,0,227152,0,0,0,0,0,418863,0,0,0,0,0,0,0,1770,0,0,1770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,404797,0,0,101534,0,160881,2857,0,0,0,0,0,0,0,0,0,30,1021171,0,0,0,0,0,0,0,0,0,0,3073852,3204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12/31/2024 0:00:00,17,0,0,0,0,274541395,5376372,1103494,335957774,0,274541395,5376372,1103494,0,0,0,31,0,0,0,0,92024,0,0,0,0,0,0,0,0,13932845,0,3430187,0,0,0,0,0,0,0,0,0,0,0,317568,0,0,0,0,0,0,0,0,3243429,52452,405219,1615581,293654,1160885,632162,0,427819,0,0,60189,150291,42215524,0,0,15553752,0,0,0,0,14554456,13756426,0,0,0,0,4539,11602,1349,23468,0,1529,42487,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,17363032,0,1890713,5793133,0,4938882,0,0,496147,0,0,0,0,0,0,0,1121121,31952227,0,0,0,0,0,0,0,0,89708,0,53677127,1596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35146418,0,0,122283,1681.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,12/31/2024 0:00:00,19,0,0,0,0,16623394,1956264,0,20912657,0,16623394,1956264,0,0,0,0,0,0,0,0,0,122023,0,0,0,0,0,0,0,0,341639,0,355142,0,0,0,0,0,0,0,0,0,0,0,126546,0,0,0,0,0,0,0,0,276739,357,42531,94309,8226,5873,178954,0,0,0,0,3840,38688,1254669,0,0,2330496,0,0,0,0,315555,261348,0,0,0,0,116,621,0,1171,26,0,1934,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,696781,0,126546,86689,0,76348,0,111464,0,0,0,0,0,0,0,0,330883,1097640,0,0,0,0,0,0,0,0,0,0,2165514,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,31371,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,12/31/2024 0:00:00,21,0,0,0,0,1083807314,54678316,2337635,1350712685,0,1112704314,54678316,2337635,0,0,0,1190,0,0,0,0,62024,0,0,0,0,0,0,0,0,83453430,0,18453922,0,0,0,0,0,0,0,0,0,0,0,14386635,0,0,0,0,0,0,0,0,30573684,952698,3541232,4903888,2044735,1774649,5805597,0,0,0,0,236511,753713,386028781,0,0,39723765,0,0,0,0,3094,62278299,0,0,278504,240220,12388,55786,3033,126963,0,9362,236429,0,0,0,0,0,0,0,0,0,0,0,0,0,294,31,0,0,0,0,0,0,101907352,0,20655321,46051786,0,9119528,0,5359,40532,0,0,0,0,0,0,1345542375,7987380,19793003,0,0,0,0,0,0,0,0,-88001,0,126636493,939,0,383817288,0,721687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18228,351615296,0,0,0,0,0,0,20000000,25642995,45642995,556094491,0,0,96269359,1651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10382167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,12/31/2024 0:00:00,29,0,0,0,0,127343024,1799502,997731,147668865,0,127343024,1799502,997731,0,0,0,98,0,0,0,0,92023,0,0,0,0,0,0,0,0,4411159,0,2007014,0,0,0,0,0,0,0,0,0,0,0,1101683,0,0,0,0,0,0,0,0,2084906,53548,192513,570033,104734,244256,1489140,0,70634,0,0,27849,39909,8793669,0,0,15557922,0,0,0,0,3184693,3891136,0,0,0,-125981,1114,8428,410,16450,42,293,26737,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,0,0,0,0,0,0,6418173,0,1483131,1320706,0,1529032,0,66000,30350,0,0,0,0,0,0,0,1728166,9568832,0,0,0,0,0,0,0,0,0,0,16323418,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3070,0,0,0,0,0,0,0,0,0,10000000,0,0,144795,1602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
