"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","UPDATE_DATE","ACCT_007","ACCT_008","ACCT_009","ACCT_010","ACCT_011C","ACCT_013","ACCT_018","ACCT_019","ACCT_021B","ACCT_022B","ACCT_023B","ACCT_025A","ACCT_025B","ACCT_031A","ACCT_031B","ACCT_041B","ACCT_042","ACCT_058C","ACCT_065","ACCT_067","ACCT_068","ACCT_069","ACCT_080","ACCT_083","ACCT_084","ACCT_100","ACCT_300","ACCT_340","ACCT_380","ACCT_386","ACCT_387","ACCT_388","ACCT_392","ACCT_400","ACCT_457","ACCT_521","ACCT_522","ACCT_523","ACCT_524","ACCT_550","ACCT_551","ACCT_552","ACCT_562","ACCT_563","ACCT_602","ACCT_630","ACCT_652A","ACCT_652B1","ACCT_652B2","ACCT_655A","ACCT_655B1","ACCT_655B2","ACCT_656C","ACCT_657","ACCT_658","ACCT_662","ACCT_668","ACCT_671","ACCT_672A","ACCT_672B1","ACCT_672B2","ACCT_703","ACCT_704","ACCT_705","ACCT_706","ACCT_707","ACCT_708","ACCT_710","ACCT_712","ACCT_713","ACCT_714","ACCT_715","ACCT_716","ACCT_718","ACCT_719","ACCT_720","ACCT_721","ACCT_722","ACCT_723","ACCT_724","ACCT_730","ACCT_741A","ACCT_741B1","ACCT_741B2","ACCT_742A","ACCT_742B1","ACCT_742B2","ACCT_746A","ACCT_746B1","ACCT_746B2","ACCT_749","ACCT_750A","ACCT_750B1","ACCT_750B2","ACCT_751","ACCT_755","ACCT_760C","ACCT_761C","ACCT_771","ACCT_775","ACCT_794","ACCT_798","ACCT_799A","ACCT_799B1","ACCT_799B2","ACCT_825","ACCT_860C","ACCT_880","ACCT_902","ACCT_906A","ACCT_908A","ACCT_908C","ACCT_911","ACCT_931","ACCT_940","ACCT_959","ACCT_960","ACCT_968","ACCT_973","ACCT_975","ACCT_976","ACCT_991","Acct_965A","Acct_965B","Acct_965C","Acct_965D","ACCT_020A","ACCT_020B","ACCT_024A","ACCT_024B","ACCT_042A","ACCT_090A","ACCT_090B","ACCT_090C","ACCT_090D","ACCT_099A","ACCT_143A","ACCT_143B","ACCT_143C","ACCT_143D","ACCT_400A","ACCT_400B","ACCT_400C","ACCT_400D","ACCT_400F","ACCT_459A","ACCT_463A","ACCT_475A","ACCT_475B","ACCT_475C","ACCT_475D","ACCT_691B","ACCT_691C","ACCT_692","ACCT_692A","ACCT_704A","ACCT_704B","ACCT_704C","ACCT_704D","ACCT_704E","ACCT_705A","ACCT_705B","ACCT_708B","ACCT_720A","ACCT_720B","ACCT_720C","ACCT_720D","ACCT_720E","ACCT_721A","ACCT_721B","ACCT_724B","ACCT_733A","ACCT_745C1","ACCT_745C2","ACCT_796C1","ACCT_796C2","ACCT_797C1","ACCT_797C2","ACCT_799C1","ACCT_799C2","ACCT_965C1","ACCT_965C2","ACCT_088","ACCT_799A1","ACCT_672B","ACCT_672C1","ACCT_672C2","ACCT_672D","ACCT_744B","ACCT_744C1","ACCT_744C2","ACCT_744D","ACCT_652B","ACCT_652C1","ACCT_652C2","ACCT_652D","ACCT_766A","ACCT_766B","ACCT_766C1","ACCT_766C2","ACCT_766D","ACCT_766E","ACCT_798A1","ACCT_798A2","ACCT_798A3","ACCT_009A","ACCT_009B","ACCT_009C","ACCT_769A1","ACCT_769B1","ACCT_616","ACCT_616A","ACCT_704A1","ACCT_704C1","ACCT_980","ACCT_742C1","ACCT_742C2","ACCT_020J","ACCT_020K","ACCT_020L","ACCT_021J","ACCT_021K","ACCT_021L","ACCT_022J","ACCT_022K","ACCT_022L","ACCT_023J","ACCT_023K","ACCT_023L","ACCT_041J","ACCT_041K","ACCT_041L","Acct_1019","Acct_1019A","Acct_1019B","Acct_1019C","Acct_1019D","Acct_1019E","Acct_789A","Acct_789A1","Acct_789B","Acct_789B1"
1,12/31/2024 0:00:00,2,1/29/2025 10:45:12 PM,41785,5201,0,11835153,0,10456209,10456209,0,67353,2393,0,786,9163389,469,4090293,81375,0,0,0,0,0,0,0,1267,2000,0,0,0,153240,0,0,0,0,0,0,0,925,674,674,23905,1945,0,0,0,0,79339,0,0,0,0,0,0,0,6338306,203072,0,0,414057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97518,0,0,0,0,2031,0,0,462511,0,1121522,3576053,0,0,1173841,0,0,256,0,0,0,0,0,0,0,0,0,108382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12/31/2024 0:00:00,7,1/30/2025 10:36:36 PM,2868178,750856,0,269952063,0,204597639,235351639,0,1047124,799193,634163,20820,203270107,5184,70778947,3471204,0,0,0,0,0,0,0,29023,80000,0,0,12773,3414420,0,0,0,0,0,30754,1068,1195,542,699,2219598,495298,0,0,0,0,296365,0,0,0,0,0,0,0,114198488,0,0,0,14669290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2358767,0,0,0,0,5873183,7069093,30754000,43859975,4725698,23615053,37139099,2522257,0,22780119,0,0,3288,0,0,0,0,0,0,0,0,0,3442819,0,328530,0,0,0,0,0,0,0,0,0,0,1156943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814072,63845,10168358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12/31/2024 0:00:00,11,1/23/2025 10:14:11 PM,4871838,488776,0,60540924,0,55308291,55308291,0,179249,29359,0,9419,32014515,5742,18715418,274845,0,0,0,0,0,0,0,9040,19040,0,0,15670,377490,0,0,0,0,0,0,1243,1050,800,875,542129,140015,0,0,0,0,218109,0,0,0,0,0,0,0,24132913,0,0,0,4775929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545246,0,0,0,0,175530,0,0,15803849,854722,2402616,4572449,9370441,0,6264516,0,0,345,0,0,0,0,0,0,0,0,0,135677,0,12335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194349,32544,3296871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,12/31/2024 0:00:00,12,1/29/2025 10:16:22 PM,18140884,2568776,0,1166537765,0,930699777,1013742211,0,1171283,617273,128431,37418,1017282706,15084,446216822,3378481,0,0,0,0,0,0,0,68058,849530,0,0,2367596,30175955,0,0,0,0,0,22,1100,950,364,364,3282767,627675,0,0,0,0,225269,0,0,0,0,0,0,0,162256236,0,0,0,25330954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8315000,0,0,0,0,4825426,55000000,83042434,117903239,33771244,264510694,522825843,31092281,0,93820486,0,0,12604,0,0,0,0,0,0,0,0,0,19288034,0,109569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4275965,79881,6795607,0,0,0,0,0,34149417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,12/31/2024 0:00:00,14,1/16/2025 10:09:26 PM,0,2147,0,9364728,0,8039127,8039127,0,513,0,13624,279,3591866,60,932229,14550,0,0,0,0,0,0,0,866,1320,0,0,45,52118,0,0,0,0,0,0,1490,1000,649,674,21311,6300,0,0,0,0,0,0,0,0,0,0,0,0,4862022,479075,0,0,367390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80311,0,0,0,0,6080,0,0,1702619,166167,1308317,1308317,0,0,815137,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9604,14045,24803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,12/31/2024 0:00:00,16,1/28/2025 10:25:52 PM,0,0,0,9594785,0,6517877,6517877,0,0,902,0,262,1540725,177,697769,902,0,0,0,0,0,0,0,1094,2500,0,0,0,101534,0,0,0,0,0,0,0,990,565,595,0,785,0,0,0,0,0,0,0,0,0,0,0,0,6517877,91769,0,0,142382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68688,0,0,0,0,3056,0,0,0,0,0,0,0,0,2982083,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3516,10723,9558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12/31/2024 0:00:00,17,1/28/2025 10:42:20 PM,3240070,182536,0,335957774,0,281021263,281021263,0,13397,502245,0,16808,238412711,1740,61684520,858435,0,0,0,0,0,0,0,22033,25000,0,0,0,5793133,0,0,0,0,0,0,850,824,640,640,419207,38954,0,0,0,0,0,0,0,0,0,0,0,0,77215719,0,0,0,8041681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2644169,0,0,0,0,2997563,0,0,29833580,13490613,115700627,119753766,38300856,0,53298618,0,0,3227,0,0,0,0,0,0,0,0,0,603351,0,60034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805176,170341,1496231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,12/31/2024 0:00:00,19,1/10/2025 10:03:26 PM,129682,29679,0,20912657,0,18579660,18579660,0,0,0,0,461,6087971,79,1639490,0,0,0,0,0,0,0,0,1171,14437,0,10773,0,86689,0,0,0,0,0,0,1000,1019,459,559,13704,587,0,0,0,0,1659,0,0,0,0,0,0,0,11601438,603146,0,0,649517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184402,0,0,0,0,185029,0,0,3635588,0,1384709,3340973,0,0,1544822,0,0,57,0,0,0,0,0,0,0,0,0,27382,0,3109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14676,0,42787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,12/31/2024 0:00:00,21,1/30/2025 6:33:51 AM,57339645,5603074,0,1350712685,0,1140823265,1169720265,0,8276822,2753533,218957,54995,1144916895,14121,435728541,19832419,0,0,0,0,0,0,0,138379,1059772,0,0,18228847,27822939,0,0,0,0,0,28897,990,1199,999,1049,14605275,3222183,0,0,0,0,0,0,0,0,0,0,0,0,250498629,0,0,0,50586707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11090576,0,0,0,0,27799761,45642995,28897000,237387100,43255756,359236078,404833808,193429751,0,122853073,0,0,23216,0,0,0,0,0,0,0,0,0,23219797,0,0,0,0,0,0,0,0,0,0,0,0,93582999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5578291,310001,33263864,0,0,0,0,0,16824358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,12/31/2024 0:00:00,29,1/29/2025 10:14:11 PM,1918444,407500,0,147668865,0,130140257,130140257,0,438165,219683,150187,6199,80369827,969,23389662,1081160,0,0,0,0,0,0,0,14346,244000,0,0,0,1320706,0,0,0,0,0,0,895,1164,493,608,515834,80851,0,0,0,0,162872,0,0,0,0,0,0,0,67778649,0,0,0,4877522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1225791,0,0,0,0,1241956,0,0,22401985,4715138,21414433,23176269,10869947,0,14982693,0,0,708,0,0,0,0,0,0,0,0,0,1427779,0,24592,0,0,0,0,0,0,0,0,0,0,164947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238975,199541,501463,0,0,0,0,0,13046760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
