"CU_NUMBER","CycleDate","JoinNumber","CU_NAME","TradeNamesId","TradeName"
6,12/31/2024 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",1109,"NOFFCU"
51,12/31/2024 0:00:00,32,"BROADVIEW",996,"Broadview"
77,12/31/2024 0:00:00,41,"SERVICE FIRST",416,"CU Marketing Group LLC"
77,12/31/2024 0:00:00,41,"SERVICE FIRST",718,"Falls Landing"
82,12/31/2024 0:00:00,46,"FIRST ATLANTIC",75,"First Atlantic Federal Credit Un"
82,12/31/2024 0:00:00,46,"FIRST ATLANTIC",76,"First Atlantic FCU"
107,12/31/2024 0:00:00,57,"KEMBA ROANOKE",374,"KEMBA Credit Union"
107,12/31/2024 0:00:00,57,"KEMBA ROANOKE",1130,"KEMBA FEDERAL CREDIT UNION"
151,12/31/2024 0:00:00,78,"JUSTICE",227,"Justice FCU"
151,12/31/2024 0:00:00,78,"JUSTICE",228,"JFCU"
159,12/31/2024 0:00:00,83,"THREE RIVERS",3,"3Rivers"
176,12/31/2024 0:00:00,92,"EDUCATIONAL",794,"EdFed"
196,12/31/2024 0:00:00,105,"GTE",490,"GTE Financial"
227,12/31/2024 0:00:00,121,"PENTAGON",118,"Pentagon Federal Credit Union"
227,12/31/2024 0:00:00,121,"PENTAGON",119,"PenFed"
240,12/31/2024 0:00:00,128,"GREATER PITTSBURGH POLICE",1190,"GPPFCU"
266,12/31/2024 0:00:00,143,"LIBRARY OF CONGRESS",450,"NAFCU"
340,12/31/2024 0:00:00,183,"RADIFI",15,"RadiFi Credit Union"
361,12/31/2024 0:00:00,193,"SPERO FINANCIAL",906,"Spero Financial"
383,12/31/2024 0:00:00,211,"ON THE GRID FINANCIAL",66,"CUontheGrid"
435,12/31/2024 0:00:00,235,"STATE DEPARTMENT",523,"SDFCU"
566,12/31/2024 0:00:00,290,"NUVISION",553,"Nuvision Credit Union"
566,12/31/2024 0:00:00,290,"NUVISION",668,"Denali, a Division of Nuvision C"
594,12/31/2024 0:00:00,302,"PASADENA",1131,"Pasadena Service Federal Credit Union"
609,12/31/2024 0:00:00,309,"NY FIREFIGHTERS BRAVEST",499,"Uncle Sam Branch"
609,12/31/2024 0:00:00,309,"NY FIREFIGHTERS BRAVEST",549,"RPI Employees Branch"
624,12/31/2024 0:00:00,321,"UNITED STATES SENATE",225,"USSFCU, US Senate FCU"
640,12/31/2024 0:00:00,328,"MAINE MEDIA",808,"none"
665,12/31/2024 0:00:00,342,"PENINSULA COMMUNITY",14,"Peninsula Credit Union"
761,12/31/2024 0:00:00,375,"SKY",622,"Kasasa"
808,12/31/2024 0:00:00,398,"U.S. EAGLE",364,"The Eagle"
911,12/31/2024 0:00:00,457,"STAR USA",496,"Star Financial Services"
948,12/31/2024 0:00:00,476,"NUSENDA",432,"Nusenda Credit Union"
960,12/31/2024 0:00:00,482,"PACIFIC CREST",1025,"Klamath Public Employees Federal Credit Union"
1040,12/31/2024 0:00:00,524,"CAPITAL EDUCATORS",385,"CapEd"
1115,12/31/2024 0:00:00,556,"COASTLINE",481,"Easy Banking"
1117,12/31/2024 0:00:00,557,"WIDGET",62,"Widget Financial"
1127,12/31/2024 0:00:00,561,"SALEM VA MEDICAL CENTER",59,"Salem VA Credit Union"
1133,12/31/2024 0:00:00,567,"TRADEMARK",1098,"Trademark Federal Credit Union"
1148,12/31/2024 0:00:00,575,"COREPLUS",552,"CPCU"
1148,12/31/2024 0:00:00,575,"COREPLUS",629,"CorePlus Credit Union"
1207,12/31/2024 0:00:00,604,"LOS ANGELES",697,"Los Angeles Federal Credit Union"
1207,12/31/2024 0:00:00,604,"LOS ANGELES",698,"LAFCU"
1261,12/31/2024 0:00:00,625,"LANGLEY",610,"Langley Federal Credit Union"
1261,12/31/2024 0:00:00,625,"LANGLEY",611,"Langley FCU"
1367,12/31/2024 0:00:00,677,"UNIVERSITY",1148,"UFCU"
1644,12/31/2024 0:00:00,803,"CORNING",223,"Corning Credit Union"
1644,12/31/2024 0:00:00,803,"CORNING",224,"CCU"
