"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017","ACCT_AS0042"
1,12/31/2024 0:00:00,2,0,0,48533,0,1,0,27375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20637,0,0,0,20637,0,0,0,0,0,10458240,0,0,0,0,0,0,0,0,03/01/2023,7500,11837628,0,0,0,0,0,0,0,0,0,0,0,50119,0,0,0,0,0,0,0,0,0,0
6,12/31/2024 0:00:00,7,0,0,4607466,0,1,0,3495865,0,0,0,0,0,0,0,0,0,0,0,0,9787949,16180197,4053494,2050258,0,32071898,0,0,0,0,0,0,0,-1617297,0,2416707,0,0,-6464,2410243,0,0,0,0,0,248498825,0,0,0,0,0,0,0,0,01/01/2023,0,269952063,0,0,0,0,0,0,0,0,0,0,0,2208192,0,0,0,0,0,197,3674453,0,0,0
12,12/31/2024 0:00:00,11,0,308515,638410,-5607,1,0,996856,0,0,325000,0,0,325000,0,0,0,0,0,0,0,0,0,0,0,0,2481706,2714835,476457,0,0,5672998,0,0,0,512979,0,0,0,512979,0,0,0,0,0,55492088,0,0,0,0,0,0,0,0,04/01/2023,0,60540924,0,0,0,0,0,0,0,0,0,0,0,1156450,0,0,0,0,0,0,0,0,0,0
13,12/31/2024 0:00:00,12,0,98340895,3840430,3432119,1,0,3555102,0,0,0,0,0,0,0,0,0,0,0,0,25562,219381,0,0,0,244943,0,0,0,0,0,0,0,-15456,0,2993958,0,0,0,2993958,0,0,0,0,0,1073567637,0,0,0,0,0,0,0,0,01/01/2023,2278236,1167289582,0,0,0,0,0,0,0,0,0,0,0,6400634,0,0,0,0,0,0,0,0,0,0
16,12/31/2024 0:00:00,14,0,0,124193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8070516,0,0,0,0,0,0,0,0,,0,9364728,0,0,0,0,0,0,0,0,0,0,0,31144,0,0,0,0,0,0,0,0,0,0
19,12/31/2024 0:00:00,16,0,0,30,0,1,0,33483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5257000,1714000,0,0,0,6971000,0,0,0,0,0,0,0,0,0,0,0,0,0,6520933,0,0,0,0,0,0,0,0,Fiscal Year 2022,0,9594785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12/31/2024 0:00:00,17,0,31579284,852495,268626,1,0,1686014,4266901,0,0,0,0,4266901,0,0,0,0,0,0,1055359,1134948,9629475,3026222,0,14846005,0,0,0,0,0,0,0,-1945525,0,480049,0,0,0,480049,0,0,0,0,0,284514973,0,0,0,0,0,0,0,0,12/01/2023,564939,336336283,0,0,0,0,0,0,0,0,0,0,0,1533118,0,39949,78,0,0,0,0,0,0,0
26,12/31/2024 0:00:00,19,0,0,330883,0,1,0,67527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18764689,0,0,0,0,0,0,0,0,01/01/2023,53172,20930203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,12/31/2024 0:00:00,21,0,18648346,7987380,0,1,0,16307966,0,0,0,0,0,0,0,0,0,0,0,0,0,1932710,14888736,39725948,0,56547394,0,0,0,0,0,0,0,-15255940,0,16804652,0,0,0,16804652,0,0,0,0,0,1243203553,5,57625,31783,0,0,0,4,27223,07/01/2023,5646897,1354496105,0,0,0,0,0,0,0,0,0,0,0,7030051,0,0,0,0,0,3,5000000,0,0,0
42,12/31/2024 0:00:00,29,0,0,1728166,0,1,0,332674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11773000,12064000,849000,0,0,24686000,0,0,0,174044,0,0,0,174044,0,0,0,0,0,131412563,0,0,0,0,0,0,0,0,10/01/2023,100174,147735981,0,0,0,0,0,0,0,0,0,0,0,507429,0,0,0,0,0,0,0,0,0,0
