"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_001","ACCT_011A","ACCT_011B1","ACCT_011B2","ACCT_013A","ACCT_013B1","ACCT_013B2","ACCT_014","ACCT_017","ACCT_018A","ACCT_018B1","ACCT_018B2","ACCT_021A","ACCT_022A","ACCT_023A","ACCT_041A","ACCT_058A","ACCT_058B1","ACCT_058B2","ACCT_062","ACCT_063","ACCT_076","ACCT_077","ACCT_078","ACCT_079","ACCT_081","ACCT_082","ACCT_090","ACCT_099","ACCT_110","ACCT_119","ACCT_120","ACCT_124","ACCT_125A","ACCT_125B","ACCT_125C","ACCT_125D","ACCT_125E","ACCT_126A","ACCT_126B","ACCT_126C","ACCT_126D","ACCT_126E","ACCT_131","ACCT_132","ACCT_133","ACCT_134","ACCT_135","ACCT_140","ACCT_142","ACCT_143","ACCT_144","ACCT_210","ACCT_230","ACCT_250","ACCT_260","ACCT_270","ACCT_280","ACCT_290","ACCT_305","ACCT_310","ACCT_314","ACCT_315","ACCT_320","ACCT_360","ACCT_370","ACCT_381","ACCT_384","ACCT_385","ACCT_389","ACCT_391","ACCT_393","ACCT_395","ACCT_396","ACCT_397","ACCT_399","ACCT_420","ACCT_430","ACCT_440","ACCT_451","ACCT_452","ACCT_453","ACCT_454","ACCT_455","ACCT_458","ACCT_460","ACCT_463","ACCT_475","ACCT_481","ACCT_482","ACCT_532","ACCT_547","ACCT_548","ACCT_549","ACCT_553","ACCT_554","ACCT_555","ACCT_560","ACCT_561","ACCT_564A","ACCT_564B","ACCT_593","ACCT_594","ACCT_595","ACCT_596","ACCT_599","ACCT_002","ACCT_115","ACCT_116","ACCT_117","ACCT_350","ACCT_565","Acct_661A","Acct_769A","Acct_769B","Acct_820A","Acct_954","Acct_925A","Acct_925B1","Acct_925B2","Acct_010A","Acct_010B","Acct_010C","Acct_730A","Acct_730B","Acct_730C","Acct_799I","Acct_814A","Acct_889A","Acct_889B","Acct_892A","Acct_892B","Acct_945A","Acct_945B","Acct_996","Acct_997","Acct_998","Acct_999","ACCT_779A","ACCT_785A","ACCT_798A","ACCT_814B","ACCT_865A","ACCT_900A","ACCT_900B","ACCT_900C","ACCT_900D","ACCT_900F","ACCT_903","ACCT_904","ACCT_905","ACCT_906","ACCT_961A","ACCT_972A","ACCT_972B","ACCT_972C","ACCT_972D","ACCT_972E","ACCT_973A","ACCT_973B","ACCT_976B","ACCT_982A","ACCT_982B","ACCT_982C","ACCT_982D","ACCT_982E","ACCT_983A","ACCT_983B","ACCT_986B","ACCT_617A","ACCT_618A","ACCT_718A","ACCT_617B","ACCT_617C","ACCT_618B","ACCT_618C","ACCT_883A","ACCT_883B1","ACCT_883B2","ACCT_883C","ACCT_881","ACCT_882","ACCT_822","ACCT_567","ACCT_568","ACCT_020C","ACCT_021C","ACCT_022C","ACCT_023C","ACCT_041C","ACCT_020D","ACCT_021D","ACCT_022D","ACCT_023D","ACCT_041D","ACCT_713A","ACCT_714A","ACCT_715A","ACCT_716A","ACCT_020E","ACCT_021E","ACCT_022E","ACCT_023E","ACCT_041E","ACCT_020F","ACCT_021F","ACCT_022F","ACCT_023F","ACCT_041F","ACCT_065A","ACCT_065B","ACCT_065C","ACCT_065D","ACCT_065E","ACCT_067A","ACCT_067B","ACCT_067C","ACCT_550J","ACCT_550K","ACCT_550L","ACCT_551J","ACCT_551K","ACCT_551L","ACCT_029A","ACCT_029B","ACCT_029C","ACCT_029D","ACCT_029E","ACCT_030A","ACCT_030B","ACCT_030C","ACCT_030D","ACCT_030E","ACCT_032A","ACCT_032B","ACCT_032C","ACCT_032D","ACCT_032E","ACCT_704F1","ACCT_704F2","ACCT_704F3","ACCT_704F4","ACCT_811B","ACCT_PP0027","ACCT_PP0029","ACCT_PP0031"
1,9/30/2024 0:00:00,2,0,0,0,0,7996796,2059304,0,11419048,0,7996796,2059304,0,0,0,0,4,0,0,0,0,122023,2,0,0,0,0,0,0,0,393595,0,48131,0,0,0,0,0,0,0,0,0,0,0,23067,0,0,0,0,0,0,0,0,145105,1191,10368,131668,300,5335,8598,0,0,0,0,1494,5034,3913645,0,0,2098820,0,0,0,0,0,832522,0,0,0,0,115,329,0,1263,60,0,1767,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,441726,0,59401,106588,0,64951,0,2361,0,0,0,0,0,0,0,0,95559,1302944,0,0,0,0,0,0,0,0,0,0,1362494,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,17473,1662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,9/30/2024 0:00:00,7,0,0,0,0,197545904,6864963,1256403,270329243,0,197545904,11033963,27841403,0,0,0,266,0,0,0,0,122023,2,0,0,0,0,0,0,0,10468449,0,1214761,0,0,0,0,0,0,0,0,0,0,0,1119613,0,0,0,0,0,0,0,0,5386367,239341,443959,3637750,264171,577245,313664,0,0,0,0,35734,75763,63510742,0,0,35741645,0,0,0,0,19475302,27461562,0,0,-5548,595877,1218,14280,445,33457,218,99,80471,0,0,0,0,0,0,0,0,0,0,0,0,0,88,7,0,0,0,0,0,0,11683210,0,3179938,2561033,0,-422492,0,351932,200565,0,7000000,0,0,0,0,0,6069747,18272924,0,0,0,0,0,0,0,0,0,0,29635453,1096,0,0,0,91700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,4273393,0,0,0,0,0,14068,0,0,14068,21560000,0,0,8796900,1671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,9/30/2024 0:00:00,11,0,0,0,0,51842172,1147465,581889,58700838,0,51842172,1147465,581889,0,0,0,171,0,0,0,0,32024,2,0,0,0,0,0,0,0,2035392,0,480887,0,0,0,0,0,0,0,0,0,0,0,1027453,0,0,0,0,0,0,0,0,1480462,108879,343489,526013,59694,516068,509284,0,0,0,0,9533,13807,4118214,0,0,4347108,0,0,0,0,3685840,8277719,0,0,0,4153,195,6136,148,15239,579,348,22645,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,0,0,0,0,0,2516279,0,1881446,290233,0,165299,0,180000,6782,0,0,0,0,0,0,0,478054,1940121,0,0,0,0,0,0,0,0,-1260229,0,6084787,1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000000,0,0,8701574,1745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,9/30/2024 0:00:00,12,0,0,0,0,590603975,208590748,91262727,1125128209,0,602001153,275911748,95521727,0,0,0,162,0,0,0,0,122023,2,0,0,0,0,0,0,0,39674533,0,2595214,0,0,0,0,0,0,0,0,0,0,0,4268870,0,0,0,0,0,0,0,0,9076342,268352,671921,5801315,515196,1573837,477559,0,0,0,0,132686,58020,298715423,0,0,291694348,0,0,0,0,9810706,22805936,0,0,-49678,0,8912,33779,2393,73898,77,612,119693,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,42269747,0,9042542,23514326,0,7311097,0,0,0,0,15000000,0,0,0,0,0,9444789,85433075,0,0,0,0,0,0,0,0,-1073834,0,107948008,958,0,50479803,0,686109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19736,552559454,0,0,0,0,0,6000000,27000000,7000000,40000000,500980078,0,0,537687,1738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,9/30/2024 0:00:00,14,0,0,0,0,8200992,0,0,9502892,0,8200992,0,0,0,0,0,1,0,0,0,0,22024,2,0,0,0,0,0,0,0,161217,0,122761,0,0,0,0,0,0,0,0,0,0,0,22808,0,0,0,0,0,0,0,0,158857,0,2700,38600,609,58995,13167,0,0,0,0,1248,620,1386531,0,0,915739,0,0,0,0,132164,287356,0,0,-3,0,69,334,6,1112,0,0,1521,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,283978,0,46883,37620,0,18445,0,40341,31038,0,0,0,0,0,0,0,104747,1016457,0,0,0,0,0,0,0,0,0,0,1287473,1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,9/30/2024 0:00:00,16,0,0,0,0,6570065,0,0,9602721,0,6570065,0,0,0,0,0,2,0,0,0,0,62023,3,0,0,0,0,0,0,0,75550,0,222980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61891,0,11039,7218,0,3148,18454,0,0,0,0,1206,1743,948069,0,0,223256,0,0,0,0,0,380773,0,0,0,0,0,0,0,1766,0,0,1766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,298530,0,0,76554,0,117277,2857,0,0,0,0,0,0,0,0,0,30,585167,0,0,0,0,0,0,0,0,0,0,3030248,3156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,9/30/2024 0:00:00,17,0,0,0,0,266435802,8462525,544777,329619979,0,266435802,8462525,544777,0,0,0,16,0,0,0,0,92023,2,0,0,0,0,0,0,0,10428247,0,2513443,0,0,0,0,0,0,0,0,0,0,0,233433,0,0,0,0,0,0,0,0,2496041,37519,304400,1219241,221484,845705,431901,0,321876,0,0,44566,97361,44295745,0,0,16731325,0,0,0,0,14260753,14546768,0,0,0,0,4407,11458,1362,23346,0,1548,42121,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,12941690,0,1456907,4229417,0,3789037,0,0,509832,0,0,0,0,0,0,0,1442424,23038173,0,0,0,0,0,0,0,0,89708,0,52527282,1592,0,0,0,95002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35440079,0,0,126755,1678.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,9/30/2024 0:00:00,19,0,0,0,0,16683904,2023635,0,20941002,0,16683904,2023635,0,0,0,0,1,0,0,0,0,122023,3,0,0,0,0,0,0,0,255571,0,255756,0,0,0,0,0,0,0,0,0,0,0,96442,0,0,0,0,0,0,0,0,200367,209,32215,72000,6018,4132,133182,0,0,0,0,2841,26127,1241661,0,0,2202309,0,0,0,0,294837,274346,0,0,0,0,120,631,0,1178,26,0,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,511327,0,96442,57374,0,62531,0,111464,0,0,0,0,0,0,0,0,365753,1406575,0,0,0,0,0,0,0,0,0,0,2169776,1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,33515,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,9/30/2024 0:00:00,21,0,0,0,0,1042209253,82492716,2028637,1371241672,0,1068451253,92524716,2028637,0,0,0,984,0,0,0,0,62024,2,0,0,0,0,0,0,0,61379389,0,14137348,0,0,0,0,0,0,0,0,0,0,0,10323586,0,0,0,0,0,0,0,0,22454738,732136,2670686,3704336,1598646,1320842,4349768,0,0,0,0,177382,557231,405509298,0,0,46515461,0,0,0,0,3704,64948141,0,0,11388,151263,12862,56082,3037,126397,0,9305,243957,0,0,0,0,0,0,0,0,0,0,0,0,0,298,32,0,0,0,0,0,0,75516737,0,14927185,34731380,0,6581015,0,5359,44009,0,0,0,0,0,0,1333961795,7072182,12837913,0,0,0,0,0,0,0,0,-88001,0,124097980,928,0,380439571,0,757369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17934,365922384,0,0,0,0,0,33000000,45563409,0,78563409,505212345,0,0,89923880,1649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9925383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,9/30/2024 0:00:00,29,0,0,0,0,124816402,2144963,1005061,145538238,0,124816402,2144963,1005061,0,0,0,161,0,0,0,0,92023,3,0,0,0,0,0,0,0,3292339,0,1454891,0,0,0,0,0,0,0,0,0,0,0,823540,0,0,0,0,0,0,0,0,1549097,24594,145688,422581,59387,185294,1122922,0,53248,0,0,22627,32164,8940306,0,0,15731983,0,0,0,0,3254484,4051887,0,0,0,-89071,1040,8427,424,16412,43,284,26630,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0,0,0,0,0,0,4747230,0,1036639,936674,0,1150685,0,66000,25703,0,0,0,0,0,0,0,1510759,10019426,0,0,0,0,0,0,0,0,0,0,15945072,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3992,0,0,0,0,0,0,0,0,0,10000000,0,0,204562,1606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
