"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017","ACCT_AS0042"
1,9/30/2024 0:00:00,2,0,0,95559,0,1,0,26991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20495,0,0,0,20495,0,0,0,0,0,10061579,0,0,0,0,0,0,0,0,03/01/2023,7500,11424073,0,0,0,0,0,0,0,0,0,0,0,36334,0,0,0,0,0,0,0,0,0,0
6,9/30/2024 0:00:00,7,0,0,6069747,0,1,0,3268462,0,0,0,0,0,0,0,0,0,0,0,0,8159110,17668147,4820253,2131783,0,32779293,0,0,0,0,0,0,0,-1483537,0,1749145,0,0,1468,1750613,0,0,0,0,0,249177327,0,0,0,0,0,0,0,0,01/01/2023,0,270329243,0,0,0,0,0,0,0,0,0,0,0,1469996,0,0,0,0,0,136,1973327,0,0,0
12,9/30/2024 0:00:00,11,0,328635,424567,53487,1,0,974573,0,0,325000,0,0,325000,0,0,0,0,0,0,0,0,0,0,0,0,1982192,3198223,475137,0,0,5655552,0,0,0,374964,0,0,0,374964,0,0,0,0,0,53876280,0,0,0,0,0,0,0,0,04/01/2023,0,58700838,0,0,0,0,0,0,0,0,0,0,0,849840,0,0,0,0,0,0,0,0,0,0
13,9/30/2024 0:00:00,12,0,85124201,3324035,6120754,1,0,3204304,0,0,0,0,0,0,0,0,0,0,0,0,11607,267796,0,0,0,279403,0,0,0,0,0,0,0,-11194,0,1911638,0,0,0,1911638,0,0,0,0,0,1034791647,0,0,0,0,0,0,0,0,01/01/2023,2278236,1126654627,0,0,0,0,0,0,0,0,0,0,0,4812147,0,0,0,0,0,0,0,0,0,0
16,9/30/2024 0:00:00,14,0,0,104747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8215419,0,0,0,0,0,0,0,0,,0,9502892,0,0,0,0,0,0,0,0,0,0,0,24078,0,0,0,0,0,0,0,0,0,0
19,9/30/2024 0:00:00,16,0,0,30,0,1,0,33483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5680000,1714000,0,0,0,7394000,0,0,0,0,0,0,0,0,0,0,0,0,0,6572473,0,0,0,0,0,0,0,0,Fiscal Year 2022,0,9602721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,9/30/2024 0:00:00,17,0,22483505,910875,531549,1,0,1676976,3703970,0,0,0,0,3703970,0,0,0,0,0,0,2219514,1269552,8742949,1780297,0,14012311,0,0,0,0,0,0,0,-1480503,0,360049,0,0,0,360049,0,0,0,0,0,278862001,0,0,0,0,0,0,0,0,12/01/2023,564939,329998488,0,0,0,0,0,0,0,0,0,0,0,1046893,0,176503,78,0,0,0,0,0,0,0
26,9/30/2024 0:00:00,19,0,0,365753,0,1,0,69222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18806851,0,0,0,0,0,0,0,0,01/01/2023,53172,20976627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,9/30/2024 0:00:00,21,0,12137823,7072182,0,1,0,14077966,0,0,0,0,0,0,0,0,0,0,0,0,0,2088928,18682899,36199499,3172932,60144257,0,0,0,0,0,0,0,-12721299,0,11565762,0,0,0,11565762,0,0,0,0,0,1263736412,7,199229,38461,0,0,0,4,32802,07/01/2023,5646897,1375025092,0,0,0,0,0,0,0,0,0,0,0,5646285,0,0,0,0,0,2,2500000,0,0,0
42,9/30/2024 0:00:00,29,0,0,1510759,0,1,0,440916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13768000,10267000,249000,0,0,24284000,0,0,0,78908,0,0,0,78908,0,0,0,0,0,129660282,0,0,0,0,0,0,0,0,10/01/2023,100174,145605354,0,0,0,0,0,0,0,0,0,0,0,302170,0,0,0,0,0,0,0,0,0,0
47,9/30/2024 0:00:00,30,0,0,252284,0,1,0,100330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,0,0,250000,0,0,0,15000,0,0,0,15000,0,0,0,0,0,50546344,0,0,0,0,0,0,0,0,02/01/2023,0,57214623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,9/30/2024 0:00:00,31,0,0,849061,0,1,0,257852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4696000,5047000,0,0,0,9743000,0,0,0,140648,0,0,-975,139673,0,0,0,0,595,51004091,0,0,0,0,0,0,0,0,Fiscal Year 2022,166396,63483112,0,0,0,0,0,0,0,0,0,0,0,329942,0,0,0,0,0,0,0,0,0,0
51,9/30/2024 0:00:00,32,0,545679653,29810967,22384289,1,0,65208728,57302,0,0,982125,9276452,10315879,0,0,0,0,0,0,17068372,53881245,167186502,519749185,30726462,788611766,215047981,44861894,37484391,54117093,0,351511359,0,-158265377,0,12372627,-1149,0,-173545,12197933,0,0,0,0,265490,8308201776,4,80855,80855,0,0,0,4,80855,01/01/2023,23240646,8960594742,0,0,0,0,0,0,0,0,0,0,0,42905631,0,6525730,0,0,0,0,0,0,0,-6043
53,9/30/2024 0:00:00,33,0,0,514300,0,1,0,327473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000,500000,1000000,0,0,3000000,0,0,0,81595,0,0,0,81595,0,0,0,0,0,56834001,0,0,0,0,0,0,0,0,01/01/2023,0,61963140,0,0,0,0,0,0,0,0,0,0,0,203456,0,0,0,0,0,0,0,0,0,0
60,9/30/2024 0:00:00,35,0,33260327,1442812,2429779,1,0,3075961,0,0,0,0,0,0,0,0,0,0,0,0,12305635,12535016,28045389,15274403,0,68160444,0,0,0,0,0,0,0,-4024723,0,1723100,0,0,0,1723100,0,0,0,0,0,419386613,0,0,0,0,0,0,0,0,04/01/2023,663863,463425793,0,0,0,0,0,0,0,0,0,0,0,3097050,0,0,0,0,0,25,270810,0,0,0
