"CU_NUMBER","Cycle_date","join_number","USER_ID","ACCT_LQ0018","ACCT_LQ0019","ACCT_LQ0020","ACCT_LQ0021","ACCT_LQ0022","ACCT_LQ0023","ACCT_LQ0024","ACCT_LQ0025","ACCT_LQ0026","ACCT_LQ0027","ACCT_LQ0028","ACCT_LQ0029","ACCT_LQ0030","ACCT_LQ0034","ACCT_LQ0035","ACCT_LQ0038","ACCT_LQ0039","ACCT_LQ0040","ACCT_LQ0042","ACCT_LQ0043","ACCT_LQ0044","ACCT_LQ0045","ACCT_LQ0046","ACCT_LQ0047","ACCT_LQ0052","ACCT_LQ0053","ACCT_LQ0056","ACCT_LQ0059","ACCT_LQ0860","ACCT_NV0001","ACCT_NV0002","ACCT_NV0003","ACCT_NV0004","ACCT_NV0013","ACCT_NV0014","ACCT_NV0015","ACCT_NV0016","ACCT_NV0017","ACCT_NV0018","ACCT_NV0019","ACCT_NV0020","ACCT_NV0021","ACCT_NV0022","ACCT_NV0023","ACCT_NV0024","ACCT_NV0025","ACCT_NV0026","ACCT_NV0027","ACCT_NV0028","ACCT_NV0029","ACCT_NV0030","ACCT_NV0031","ACCT_NV0032","ACCT_NV0033","ACCT_NV0034","ACCT_NV0035","ACCT_NV0036","ACCT_NV0037","ACCT_NV0038","ACCT_NV0039","ACCT_NV0040","ACCT_NV0041","ACCT_NV0042","ACCT_NV0043","ACCT_NV0044","ACCT_NV0045","ACCT_NV0046","ACCT_NV0047","ACCT_NV0048","ACCT_NV0049","ACCT_NV0050","ACCT_NV0051","ACCT_NV0052","ACCT_NV0053","ACCT_NV0054","ACCT_NV0055","ACCT_NV0056","ACCT_NV0057","ACCT_NV0058","ACCT_NV0059","ACCT_NV0060","ACCT_NV0061","ACCT_NV0062","ACCT_NV0063","ACCT_NV0064","ACCT_NV0065","ACCT_NV0066","ACCT_NV0067","ACCT_NV0068","ACCT_NV0069","ACCT_NV0070","ACCT_NV0071","ACCT_NV0072","ACCT_NV0073","ACCT_NV0074","ACCT_NV0075","ACCT_NV0076","ACCT_NV0077","ACCT_NV0078","ACCT_NV0079","ACCT_NV0080","ACCT_NV0081","ACCT_NV0083","ACCT_NV0084","ACCT_NV0087","ACCT_NV0088","ACCT_NV0089","ACCT_NV0090","ACCT_NV0091","ACCT_NV0092","ACCT_NV0093","ACCT_NV0094","ACCT_NV0095","ACCT_NV0096","ACCT_NV0097","ACCT_NV0098","ACCT_NV0099","ACCT_NV0100","ACCT_NV0101","ACCT_NV0102","ACCT_NV0103","ACCT_NV0104","ACCT_NV0105","ACCT_NV0106","ACCT_NV0107","ACCT_NV0108","ACCT_NV0109","ACCT_NV0110","ACCT_NV0111","ACCT_NV0112","ACCT_NV0113","ACCT_NV0114","ACCT_NV0115","ACCT_NV0116","ACCT_NV0122","ACCT_NV0128","ACCT_NV0134","ACCT_NV0140","ACCT_NV0141","ACCT_NV0142","ACCT_NV0143","ACCT_NV0144","ACCT_NV0145","ACCT_NV0146","ACCT_NV0153","ACCT_NV0154","ACCT_NV0155","ACCT_NV0156","ACCT_NV0157","ACCT_NV0158","ACCT_NV0159","ACCT_NV0160","ACCT_NV0161","ACCT_NV0162","ACCT_NV0169","ACCT_NV0170","ACCT_NV0172","ACCT_NV0173","ACCT_SL0036","ACCT_SL0037","ACCT_SL0038","ACCT_SL0039","ACCT_SL0041","ACCT_SL0043","ACCT_SL0045","ACCT_SL0047","ACCT_SL0049","ACCT_SL0051","ACCT_SL0053","ACCT_SL0055","ACCT_SL0056","ACCT_SL0057","ACCT_SL0058","ACCT_SL0059","ACCT_RB0001","ACCT_RB0002","ACCT_RB0003","ACCT_RB0004","ACCT_RB0005","ACCT_RB0006","ACCT_RB0007","ACCT_RB0008","ACCT_RB0009","ACCT_RB0010","ACCT_RB0011","ACCT_RB0012","ACCT_RB0013","ACCT_RB0014","ACCT_RB0015","ACCT_RB0016","ACCT_RB0017","ACCT_RB0018","ACCT_RB0019","ACCT_RB0020","ACCT_RB0021","ACCT_RB0022","ACCT_RB0023","ACCT_RB0024","ACCT_RB0025"
1,9/30/2024 0:00:00,2,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950000,0,0,0,0,950000,0,0,0,0,0,2361,0,0,0,2361,950000,2361,0,0,0,952361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1357469,26991,0,0,26991,0,0,0,97518,1286942,0,1286942,0,0,0,0,0,0,0,0,0,0,0,0,0
6,9/30/2024 0:00:00,7,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7014068,0,0,0,0,0,0,15871825,15145417,0,0,0,0,0,0,15871825,15145417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18391005,17633876,0,0,0,0,0,34262830,32779293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356537,98027,0,0,0,454564,0,0,32779293,0,0,0,0,0,351932,351932,8515647,17766174,4820253,2131783,351932,33585789,0,0,0,0,0,0,0,0,1463826,0,0,0,676038,5400,0,0,0,0,0,0,6096920,2353288,0,0,22635453,3268462,0,0,3268462,0,0,0,2309148,23594767,0,23594767,0,0,0,0,0,0,0,0,0,0,0,0,0
12,9/30/2024 0:00:00,11,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4909526,4827098,0,0,498026,484745,0,0,0,0,0,0,498026,484745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248000,248000,0,0,0,0,0,0,5655552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325000,325000,325000,9773550,2977000,0,0,0,12750550,325000,0,0,5655552,210200,0,0,0,0,210200,11965942,6175223,800137,0,0,18941302,0,0,0,0,0,800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6084787,974573,0,0,974573,0,0,0,516956,6542404,0,6542404,0,0,0,0,0,0,0,0,0,0,0,0,0
13,9/30/2024 0:00:00,12,Subm,0,0,0,50479803,0,0,0,0,0,0,0,0,0,0,291694348,0,0,170980078,0,170980078,0,285712996,0,0,0,0,0,0,55000000,0,0,0,0,0,0,0,0,0,0,290598,279403,0,0,290598,279403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290598,279403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,100000,0,0,279403,0,0,4891060,0,0,0,4891060,111607,5158856,0,0,0,5270463,0,0,0,0,0,0,0,0,0,0,897714,1549236,0,0,0,0,0,0,0,0,0,0,0,0,91421590,3204304,0,0,3204304,0,0,0,8037974,86587920,0,86587920,0,0,0,0,0,0,0,0,0,0,0,0,0
16,9/30/2024 0:00:00,14,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800000,2650000,1044000,0,0,4494000,0,0,0,0,40341,0,0,0,0,40341,840341,2650000,1044000,0,0,4534341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1287473,31880,0,0,31880,0,0,0,80311,1239042,0,1239042,0,0,0,0,0,0,0,0,0,0,0,0,0
19,9/30/2024 0:00:00,16,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7394000,7394000,0,0,7394000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7394000,2857,0,0,0,0,2857,5682857,1714000,0,0,0,7396857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3030248,33483,0,0,33483,0,0,0,68688,2995043,0,2995043,0,0,0,0,0,0,0,0,0,0,0,0,0
22,9/30/2024 0:00:00,17,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7705636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15492815,14012311,0,0,15492815,14012311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15492815,14012311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224936,2479034,3703970,3703970,21854000,0,0,0,0,21854000,3703970,0,14012312,0,15000000,159300,0,0,0,15159300,42777484,1428852,8742949,1780297,0,54729582,78,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52148773,1676976,0,0,1676976,0,0,0,2495024,51330725,0,51330725,0,0,0,0,0,0,0,0,0,0,0,0,0
26,9/30/2024 0:00:00,19,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3572000,2928000,5955000,248000,0,12703000,0,0,0,0,111464,0,0,0,0,111464,3683464,2928000,5955000,248000,0,12814464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2134151,69222,0,0,69222,0,0,0,184401,2018972,0,2018972,0,0,0,0,0,0,0,0,0,0,0,0,0
28,9/30/2024 0:00:00,21,Subm,0,0,0,1001756,0,0,0,0,0,0,0,0,0,0,454470175,0,0,330212345,0,505084929,0,0,0,0,0,0,0,0,78563409,0,0,0,0,0,0,0,0,0,0,72865556,60144257,0,0,72865556,60144257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72865556,60144257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60144258,0,0,17650759,0,0,0,17650759,0,19739687,18682899,36199499,3172932,77795017,0,0,0,0,0,10748535,0,0,0,0,666798,0,0,0,0,0,0,0,2495674,0,0,0,0,0,120314560,14077966,0,0,14077966,0,0,0,11090576,123301950,0,123301950,0,0,0,0,0,0,0,0,0,0,0,0,0
42,9/30/2024 0:00:00,29,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500000,7500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16784000,16784000,0,0,0,0,0,0,24284000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14403000,9694000,0,0,0,24097000,0,0,0,24284000,0,0,0,0,66000,66000,28171000,19961000,249000,0,66000,48447000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15877956,440916,0,0,440916,0,0,0,1225791,15093081,0,15093081,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9/30/2024 0:00:00,30,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5163000,17046000,2425000,0,0,24634000,0,0,0,250000,0,0,0,0,0,0,5163000,17046000,2675000,0,0,24884000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6668279,100330,0,0,100330,0,0,0,482405,6286204,0,6286204,0,0,0,0,0,0,0,0,0,0,0,0,0
48,9/30/2024 0:00:00,31,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8250000,7951251,0,0,0,0,0,0,8250000,7951251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1493000,1441322,0,0,0,0,0,0,9743000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3966000,9359000,799000,0,0,14124000,0,0,0,9743000,0,0,0,0,155000,155000,8662000,14406000,799000,0,155000,24022000,0,0,0,0,0,0,0,0,9870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13433549,258447,0,0,258447,0,0,0,506438,13185558,0,13185558,0,0,0,0,0,0,0,0,0,0,0,0,0
51,9/30/2024 0:00:00,32,Subm,0,0,0,18416748,0,0,0,0,0,0,0,0,0,0,12596856,0,0,1670678274,0,268056284,0,0,400000000,652399749,0,0,0,0,650896198,94791071,94456350,9999667,9983800,12773332,12661960,0,0,243946956,232443916,924226288,766216823,256720288,245105876,924226288,766216823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6436586,6229212,0,0,0,0,0,0,1232834,1208531,0,0,7669420,7437743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4987811,4973400,0,0,0,0,351511359,946883186,788611766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9276452,1039427,0,10315879,10315879,0,0,0,0,0,0,10315879,0,788611766,351511359,0,19132202,0,0,396162,19528364,232173655,117875341,204670893,574848403,40399076,1169967368,0,0,0,0,0,43662613,0,0,2869701,0,34,0,0,0,0,0,0,8350000,0,0,0,0,0,0,795087111,65474218,0,0,65474218,0,0,0,202976708,657584621,0,657584621,0,602220509,576091072,3745148,22384289,0,1150439004,458992050,676157675,0,4973400,10315879,0
53,9/30/2024 0:00:00,33,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000000,2964005,0,0,0,0,0,0,3000000,2964005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6454000,1492000,0,0,0,7946000,0,0,0,3000000,0,80000,0,0,0,80000,7954000,2072000,1000000,0,0,11026000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5857669,327473,0,0,327473,0,0,0,550453,5634689,0,5634689,0,0,0,0,0,0,0,0,0,0,0,0,0
60,9/30/2024 0:00:00,35,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30775541,0,55556195,0,0,0,25000000,0,0,0,0,0,0,0,16546490,16206425,0,0,8500000,8115875,0,0,47138676,43838144,0,0,55638676,51954019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72185166,68160444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9113000,8214000,0,0,0,17327000,0,0,68160443,0,0,3693400,0,0,1032405,4725805,21418635,24442416,28045389,15274403,1032405,90213248,0,0,0,0,0,0,0,0,0,0,0,0,87943,657984,0,0,182967,0,0,0,0,0,0,0,52290751,3075961,0,0,3075961,0,0,0,3836815,51529897,0,51529897,0,0,0,0,0,0,0,0,0,0,0,0,0
