"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_054A","ACCT_054B","ACCT_054C","ACCT_054D","ACCT_054E","ACCT_055A","ACCT_055B","ACCT_055C","ACCT_055D","ACCT_055E","ACCT_056A","ACCT_056B","ACCT_056C","ACCT_056D","ACCT_056E","ACCT_057A","ACCT_057B","ACCT_057C","ACCT_057D","ACCT_057E","ACCT_059A","ACCT_059B","ACCT_059C","ACCT_059D","ACCT_059E","ACCT_020U","ACCT_021U","ACCT_022U","ACCT_023U","ACCT_041U","ACCT_020V","ACCT_021V","ACCT_022V","ACCT_023V","ACCT_041V","ACCT_020W","ACCT_021W","ACCT_022W","ACCT_023W","ACCT_041W","ACCT_020X","ACCT_021X","ACCT_022X","ACCT_023X","ACCT_041X","ACCT_020Y","ACCT_021Y","ACCT_022Y","ACCT_023Y","ACCT_041Y","ACCT_550U","ACCT_550V","ACCT_550W","ACCT_550X","ACCT_550Y","ACCT_551U","ACCT_551V","ACCT_551W","ACCT_551X","ACCT_551Y","ACCT_1006A","ACCT_1006B","ACCT_1006C","ACCT_1006D","ACCT_1006E","ACCT_1006","ACCT_1007A","ACCT_1007B","ACCT_1007C","ACCT_1007D","ACCT_1007E","ACCT_1007","ACCT_1008A","ACCT_1008B","ACCT_1008C","ACCT_1008D","ACCT_1008E","ACCT_1008","ACCT_1009A","ACCT_1009B","ACCT_1009C","ACCT_1009D","ACCT_1009E","ACCT_1009","ACCT_1010A","ACCT_1010B","ACCT_1010C","ACCT_1010D","ACCT_1010E","ACCT_1011A","ACCT_1011B","ACCT_1011C","ACCT_1011D","ACCT_1011E","ACCT_1012A","ACCT_1013","Acct_963B","Acct_698B","Acct_643","Acct_644","Acct_926","Acct_927","Acct_928","Acct_035A1","Acct_035B1","Acct_035C1","Acct_035D1","Acct_035E1","Acct_035A2","Acct_035B2","Acct_035C2","Acct_035D2","Acct_035E2","Acct_020C1","Acct_021C1","Acct_022C1","Acct_023C1","Acct_041C1","Acct_020C2","Acct_021C2","Acct_022C2","Acct_023C2","Acct_041C2","Acct_043A1","Acct_043B1","Acct_043C1","Acct_043D1","Acct_043E1","Acct_020G1","Acct_021G1","Acct_022G1","Acct_023G1","Acct_041G1","Acct_043A2","Acct_043B2","Acct_043C2","Acct_043D2","Acct_043E2","Acct_020G2","Acct_021G2","Acct_022G2","Acct_023G2","Acct_041G2","Acct_046A1","Acct_046B1","Acct_046C1","Acct_046D1","Acct_046E1","Acct_046A2","Acct_046B2","Acct_046C2","Acct_046D2","Acct_046E2","Acct_060A","Acct_060B","Acct_060C","Acct_060D","Acct_060E","Acct_020P1","Acct_021P1","Acct_022P1","Acct_023P1","Acct_041P1","Acct_020P2","Acct_021P2","Acct_022P2","Acct_023P2","Acct_041P2","Acct_071F","Acct_071G","Acct_071H","Acct_071I","Acct_071J","Acct_550C1","Acct_551C1","Acct_550C2","Acct_551C2","Acct_550G2","Acct_551G2","Acct_550G1","Acct_551G1","Acct_550P1","Acct_551P1","Acct_550P2","Acct_551P2","Acct_814D1","Acct_814D2","Acct_814D","Acct_814F1","Acct_814F2","Acct_814F","Acct_814G1","Acct_814G2","Acct_814G","Acct_814H1","Acct_814H2","Acct_814H","Acct_814E1","Acct_814E2","Acct_814J1","Acct_814J2","Acct_814J","Acct_816E1","Acct_816E2","Acct_884A1","Acct_884A2","Acct_884C1","Acct_884C2","Acct_884C","Acct_884D1","Acct_884D2","Acct_884D","Acct_884E","Acct_885C","Acct_885D","Acct_885A1","Acct_885B1","Acct_885C1","Acct_885D1","Acct_885A2","Acct_885B2","Acct_885C2","Acct_885D2","Acct_885A3","Acct_885B3","Acct_885C3","Acct_885D3","Acct_885B4","Acct_885C4","Acct_885D4","Acct_885C5","Acct_885D5","Acct_885A4","Acct_885B5","Acct_885C6","Acct_885D6","Acct_1014","Acct_1014A","Acct_1014B","Acct_1014C","Acct_1014D","Acct_1014E","Acct_1015","Acct_1015A","Acct_1015B","Acct_1015C","Acct_1015D","Acct_1015E"
1,9/30/2024 0:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42081,0,0,0,0,33496,0,0,0,16773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8457,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,9/30/2024 0:00:00,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191991,53208,900000,1500000,10,0,0,0,0,9,0,0,0,0,74,369667,81440,28288,21063,223766,1305483,663232,446550,50843,1263121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27532,3736,394148,114686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,0,0,0,0,0,0,0,7000000,0,0,0,0,0,0,0,0,0,0,0,0,7014068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,9/30/2024 0:00:00,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,1,0,0,0,0,3,86541,0,0,0,4442,47158,19514,18663,0,43233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26649,4091,35106,3066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,9/30/2024 0:00:00,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27552922,334028,0,0,38,0,0,0,0,28,0,0,0,0,70,6076559,431636,191911,0,948285,7381404,826159,222798,0,1801066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815666,190534,921761,170087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,0,0,5000000,0,0,0,10000000,0,0,0,5000000,0,0,0,40000000,0,0,0,0,0,0,0,0,55000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,9/30/2024 0:00:00,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14747,14747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13965,3489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,9/30/2024 0:00:00,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,9/30/2024 0:00:00,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11072,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,92058,10054,0,0,17412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,9/30/2024 0:00:00,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,9/30/2024 0:00:00,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47823247,1313051,0,0,146,0,0,0,0,41,0,0,0,0,537,1789508,536638,190674,10291,1312818,11349470,4030736,698683,49262,10054829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,827940,243684,6550188,1418627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78563409,0,0,0,0,0,0,0,0,78563409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,9/30/2024 0:00:00,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3526615,5403,0,0,15,0,0,0,0,12,0,0,0,0,35,157769,93965,28715,0,202154,210685,139186,137888,0,340638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37987,550,49172,11051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
